fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005458333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BENTZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BFNX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGHIPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BKF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSCLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BTT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1oxfnzde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2yazfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA;;100;;;;;;;;;100;;;;;;;;;;;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;110;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA-1;121.75;121.25;141.4444444;90.5;195;81.43504274;;;;77.86666667;111.4166667;63.31944444;;117.1666667;141.9027778;108.5;;120.75;85.79270833;125.0833333;107.125;70;84.80555556;76.16666667;118.8333333;96;113.3333333;;;79.25;52.7125;83;95.04466231;75.20833333;75.41666667;50.83333333;53.73333333;96.67171717;;80.08333333;68.95;128.5;144.3333333;67.66666667;;54.76923077;22.01666667;73.35416667;97.83333333;85.91666667;127.6666667;;139.3333333;78.33333333;169.5833333;125.1666667;126;88.91666667;105.625;114.5;101.2333333;116.6;108.2777778;63.33333333;86.41666667;;129.3333333;;;;75.00793651;81.25;88.75;60.25;;68.14508282;67.29166667;92.625;71.45833333;79.75;85.91666667;49.73333333;73.61111111;43.25;59.4;47.91666667;51.16666667;;79.06666667;39.25;35.54166667;40.77777778;103.3809524;47.3;90.66666667;31.04166667;56.08333333;68;74.5;50.5;62;133.9166667;79;40.51388889;47.76388889;62.0462963;;61.83333333;60.45833333;76.83333333;;72.33333333;55.77777778;45.3627451;46.96666667;31.66666667;50.08333333;53.41666667;43.66666667;43.41666667;44.83333333;41.33333333;30.8;70.875;52.80555556;48.45098039;74.875;88.58333333;;;;70.5625;47.125;81.54166667;27.25;84.66666667;82.16666667;58.33333333;77.75;95;58.11111111;62;44.11111111;41.11111111;44.25;39.77777778;39.59469697;54.97619048;;67.91666667;74.5;55.83333333;;50.75;58.5;;;;;65.52777778;47.36111111;63;65.44444444;47;60.22222222;59.27777778;67.5;64.83333333;81;63.33333333;65;81.66666667;;;;;112.0833333;;64;40.91666667;41.75;59.62962963;56.33333333;64.5;64.91666667;61.58333333;14.475;;118.5;81.5;167.5;123.3333333;93.32638889;127.5;155;127.6111111;185.8333333;65.66666667;74.40740741;81.66666667;75.625;82;;86.08333333;;76.875;95;91.5;70.625;;86.83333333;;66.5;70.1;79.625;;72.24166667;60.83333333;66.38888889;;67.125;;40.38888889;47.08333333;96.11111111;190;;111.5833333;;120.297619;90;114.25;101.8333333;;120;93.66666667;80.26086957;98.01428571;106.0416667;97.58333333;76.41666667;115.1666667;163.3333333;163.3333333;79.83333333
captn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARBEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carbmzpne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;0.0125;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;
CD-1;0.0125;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;0.0125;;;;;;;0.0125;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;0.0125;;;;;;;;;;0.0125;0.0125;;;;;;;;;;
CFVP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cHCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHLFA;85.16666667;167.5833333;;150.4722222;153.3333333;7.104166667;64;;140;39.88194444;234.3888889;5.081018519;140;44.91666667;167.7824074;64.5;50;99.55555556;25.00694444;99.59722222;41.83333333;56.40972222;47.25;19.05555556;82.875;29.5;94.33333333;153.6666667;2.604166667;59.95833333;48.98611111;42.92361111;35.63174603;54.50462963;2.861111111;1.25;2.15625;127.9514161;12.45833333;26.25;35.54166667;31.13194444;54.75;41.00490196;22.75;39.1;29.04166667;65.22916667;50.48611111;32.55555556;41.63425926;45.66666667;55.94444444;36;23.12916667;158.5208333;84.5625;2.958333333;22.08333333;27.14583333;14.38020833;43.61458333;29.69412879;32.42083333;43.97222222;140;141.5;75.16666667;5.458333333;76.66666667;145.0513889;64.20833333;51.52083333;65.11805556;14.16666667;17.90625;20.625;17.58333333;5.066666667;28.68055556;25.83333333;10.72916667;29.625;12.68055556;23.16666667;9;95.17361111;14.08333333;19.25081699;16.44791667;36.30208333;63.29166667;20.97222222;3.180555556;23.25;6.229166667;13.94444444;18.6712963;55.59722222;114;70;2.152777778;2.208333333;26.83333333;7.786111111;27.97916667;55.66666667;37.11111111;40.73032407;19.65277778;7;23.01388889;37.53981481;33.99305556;32.86111111;17.00462963;35.13888889;33.36111111;32.97222222;16.33333333;22.39583333;42.02777778;42.85185185;48.33333333;15.78472222;25.50163399;1.25;7.805555556;14;96;1.25;53.67708333;27.38194444;54.82291667;12.16666667;66.66203704;39.72916667;38.5;100.5324074;29.33333333;9.354166667;1.913888889;40.61111111;54.88888889;59.02083333;36.75694444;36.79545455;7.192694219;14;69.5;73.45833333;9.3125;1.25;9.291666667;20.13888889;20;7.625;11.625;13;23.63194444;12.41666667;21.73611111;28.66666667;46.95833333;34.01388889;39.05555556;21;30.86111111;110;23.44444444;39;21.79166667;21.33333333;2.041666667;7.666666667;6.583333333;10.43055556;16;56.625;32.16666667;48;49.77314815;39.22222222;18.01388889;76.77314815;38.06944444;44.51388889;1.25;86.83333333;45.58333333;9.604166667;31.33333333;15.45659722;31.54166667;46.20833333;56.08333333;98.77777778;80.70833333;27.13510101;20.92361111;15.39583333;35.875;111.4166667;31.95138889;206.3333333;18.72916667;10;2.5;38.30833333;46.70833333;24.29166667;65.70833333;19.76388889;26.41666667;13.27083333;17.84722222;33.51041667;11.38888889;18.61111111;21.95833333;38.66666667;9.354166667;10.97916667;28.20833333;40.40277778;7;;50.43055556;240;66.68055556;28;51.76388889;107.6666667;;31;54.27777778;9.948395884;43.66444444;47.67361111;88.5;36.66666667;11.29166667;85.66666667;10.625;28.41666667
CHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
