gebied;gebiednaam;gebiednaamkort;toetsgebied;KRWWaterlichaamcode;KRWmonitoringslocatie;KRWWatertypeToetsing;KRWWatertypeWBP;KRWWatertypeVoorstel;KRWWatertypeAlternatiefA;KRWWatertypeAlternatiefB;Opmerking1;Opmerking2;OppervlakLandWater;OmtrekWater;OppervlakWater;OppmerkingOpp
2500-EAG-6;Polder Groot Wilnis Vinkeveen, Mijdrechtse  Bovenlanden;Polder G;NL11_Tussenboezemb;NL11_8_2;NL11_Tussenboezemb;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2924372;123074;527613;
2500-EAG-2;Polder Groot Wilnis Vinkeveen, Reservaat Demmerik;Polder G;NL11_Tussenboezema;NL11_8_1;NL11_Tussenboezema;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2003546;99841;587544;
3320-EAG-1;Loenderveen, Terra Nova landelijk noord;Loenderv;NL11_TerraNova;NL11_5_4;NL11_TerraNova;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;267625;11708;96661;
3320-EAG-2;Loenderveen, Terra Nova;Loenderv;NL11_TerraNova;NL11_5_4;NL11_TerraNova;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;989952;23894;625061;
3201-EAG-2;Stichtsch Ankeveensche Polder, Ankeveensche Plassen SAP zuid;Stichtsc;NL11_StichtsAnkeveen;NL11_6_3;NL11_StichtsAnkeveen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;543642;24834;277725;
3201-EAG-1;Stichtsch Ankeveensche Polder, Ankeveensche Plassen SAP noord;Stichtsc;NL11_StichtsAnkeveen;NL11_6_3;NL11_StichtsAnkeveen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2017839;53945;984909;
3300-EAG-10;Muyeveld, Weersloot;Muyeveld;NL11_Sterenzodden;NL11_6_1;NL11_Sterenzodden;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2733129;110043;345003;
3300-EAG-11;Muyeveld, Oostenlijke Drecht;Muyeveld;NL11_Sterenzodden;NL11_6_1;NL11_Sterenzodden;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4516049;170098;596641;
3300-EAG-9;Muyeveld, Kromme Rade;Muyeveld;NL11_Sterenzodden;NL11_6_1;NL11_Sterenzodden;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1677288;51297;313098;
3200-EAG-1;Spiegelpolder, Spiegel- en Blijkpolderplas;Spiegelp;NL11_Spiegelplas;NL11_3_6;NL11_Spiegelplas;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3213821;34769;2554701;
8070-EAG-1;Sloterbinnen en Middelveldsepolder, Sloterplas;Sloterbi;NL11_Sloterplas;NL11_3_1;NL11_Sloterplas;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1462214;9129;899874;
2250-EAG-1;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerkerplas;Polder d;NL11_Ouderkerkerplas;NL11_3_3;NL11_Ouderkerkerplas;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;922352;11718;729504;
6100-EAG-1;Noorder IJ Polder, Noorder IJplas;Noorder ;NL11_NoorderIJplas;NL11_7_2;NL11_NoorderIJplas;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;682303;9103;499823;
3100-EAG-5;Naardermeer, Wijde- of Bovenste Blik;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1199242;13428;326707;
3100-EAG-4;Naardermeer, Veertigmorgen;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1148256;17233;208562;
3100-EAG-10;Naardermeer, Meerlanden;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;348969;14505;27169;
3100-EAG-9;Naardermeer, Kwelgebied noord;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;123812;5472;17310;
3100-EAG-3;Naardermeer, Groote Meer ZO;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1355738;23425;531200;
3100-EAG-2;Naardermeer, Groote Meer Noord;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1281756;14011;831945;
3100-EAG-1;Naardermeer, Binnezij/Spookgat;Naarderm;NL11_Naardermeer;NL11_4_1;NL11_Naardermeer;M14;M14;M14;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;995677;30539;274001;
3360-KRW-1;NVT;NVT;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;27004;18152;Overgenomen uit WBP_KRW
3360-EAG-17;Polder Maarsseveen-Westbroek, Westbroekse Zodden;Polder M;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2573034;139224;637896;
3360-EAG-14;Polder Maarsseveen-Westbroek, Taartpunt Zodden;Polder M;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;460203;19377;127561;
3360-EAG-12;Polder Maarsseveen-Westbroek, Nederreinsche Vaart;Polder M;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;207469;13865;42855;
3360-EAG-16;Polder Maarsseveen-Westbroek, Molenpolder Natuurreservaat;Polder M;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1427659;68563;512118;
3360-EAG-10;Polder Maarsseveen-Westbroek, Maarsseveense Zodden;Polder M;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;526876;20653;325563;
3360-EAG-13;Polder Maarsseveen-Westbroek, Klein Molenpolder;Polder M;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;299534;13563;131446;
3302-EAG-2;Oostelijke Binnenpolder van Tienhoven, petgaten;Oostelij;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;194270;8669;118142;
3302-EAG-1;Oostelijke Binnenpolder van Tienhoven, overig;Oostelij;NL11_MolenpolderTienhove;NL11_6_5;NL11_MolenpolderTienhove;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1835741;92540;202410;
3300-EAG-8;Muyeveld, Vuntus;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1450401;28116;958934;
3300-EAG-7;Muyeveld, Tienhovensche Plassen zuid;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;513496;25102;246638;
3300-EAG-6;Muyeveld, Tienhovensche Plassen noord;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;388057;17059;210511;
3300-EAG-2;Muyeveld, Nieuwe Polderplas;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;190756;2487;183607;
3300-EAG-1;Muyeveld, Loosdrechtsche Plassen;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;11291374;95873;9864467;
3300-EAG-4;Muyeveld, Kievitsbuurt zuid;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1118061;58439;875401;
3300-EAG-3;Muyeveld, Kievitsbuurt noord;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1633419;88069;1236643;
3300-EAG-5;Muyeveld, Breukeleveensche of Stille Plas;Muyeveld;NL11_Loosdrechtseplassen;NL11_5_1;NL11_Loosdrechtseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2478462;32704;1867196;
3320-EAG-4;Loenderveen, Loenderveensche Plas;Loenderv;NL11_Loenderveenoost;NL11_5_3;NL11_Loenderveenoost;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2392443;9496;2119838;
3230-EAG-3;Polder Kortenhoef, Wijde Gat;Polder K;NL11_Kortenhoefseplassen;NL11_6_4;NL11_Kortenhoefseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3353057;103714;1109248;
3230-EAG-5;Polder Kortenhoef, Hilversumsch Kanaal plas/dras;Polder K;NL11_Kortenhoefseplassen;NL11_6_4;NL11_Kortenhoefseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;909771;37721;258873;
3230-EAG-6;Polder Kortenhoef, Hilversumsch Kanaal;Polder K;NL11_Kortenhoefseplassen;NL11_6_4;NL11_Kortenhoefseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3561202;26902;473281;
3230-EAG-1;Polder Kortenhoef, Het Hol/Suikerpot;Polder K;NL11_Kortenhoefseplassen;NL11_6_4;NL11_Kortenhoefseplassen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2635002;100751;452473;
4210-EAG-1;Hollands Ankeveensche Polder, Hollandsch Ankeveensche Polder bemalen;Hollands;NL11_HollandsAnkeveen;NL11_6_2;NL11_HollandsAnkeveen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;100167;3543;26696;
4210-EAG-5;Hollands Ankeveensche Polder, Ankeveense Plassen HAP oost;Hollands;NL11_HollandsAnkeveen;NL11_6_2;NL11_HollandsAnkeveen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;242786;10071;98225;
4210-EAG-3;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP zuid;Hollands;NL11_HollandsAnkeveen;NL11_6_2;NL11_HollandsAnkeveen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1186493;26739;723320;
4210-EAG-2;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP noord;Hollands;NL11_HollandsAnkeveen;NL11_6_2;NL11_HollandsAnkeveen;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;715623;22832;200029;
3360-EAG-11;Polder Maarsseveen-Westbroek, Grote Maarsseveensche Plas;Polder M;NL11_GroteMaarsseveensep;NL11_3_8;NL11_GroteMaarsseveensep;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;856916;5317;608266;
2220-EAG-1;Zuid Bijlmer, Gaasperplas;Zuid Bij;NL11_Gaasperplas;NL11_3_2;NL11_Gaasperplas;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2022350;28559;700413;
2550-EAG-2;Noorderpolder of Botshol (zuid en west), Botshol Midden;Noorderp;NL11_Botshol;NL11_7_1;NL11_Botshol;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;401283;13188;96947;
2550-EAG-1;Noorderpolder of Botshol (zuid en west), Botshol Kleine- en Groote Wije;Noorderp;NL11_Botshol;NL11_7_1;NL11_Botshol;M27;M27;M27;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1128445;26348;739978;
2000-EAG-7;Boezem Amstelland-West, Zuid;Boezem A;NL11_Amstellandboezem;NL11_1_1;NL11_Amstellandboezem;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;522390;40880;328763;
2000-EAG-6;Boezem Amstelland-West, West;Boezem A;NL11_Amstellandboezem;NL11_1_1;NL11_Amstellandboezem;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1367947;52232;1081946;
2000-EAG-4;Boezem Amstelland-West, Oost;Boezem A;NL11_Amstellandboezem;NL11_1_1;NL11_Amstellandboezem;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;934239;52262;664424;
2000-EAG-2;Boezem Amstelland-West, Noord-West;Boezem A;NL11_Amstellandboezem;NL11_1_1;NL11_Amstellandboezem;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1098922;27302;822573;
2000-EAG-3;Boezem Amstelland-West, Noord-Oost;Boezem A;NL11_Amstellandboezem;NL11_1_1;NL11_Amstellandboezem;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;981782;22954;536224;
2000-EAG-5;Boezem Amstelland-West, Midden;Boezem A;NL11_Amstellandboezem;NL11_1_1;NL11_Amstellandboezem;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1069037;50399;830954;
4130-EAG-1;Zuidpolder beoosten Muiden, Zuidpolder beoosten Muiden;Zuidpold;OvWa_4130-EAG-1_Zuidpold;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2558684;66240;122675;
2150-EAG-1;Zuider Legmeerpolder, waterberging;Zuider L;OvWa_2150-EAG-1_Zuider L;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;199577;4850;8153;
2150-EAG-3;Zuider Legmeerpolder, landelijk;Zuider L;OvWa_2150-EAG-3_Zuider L;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;7404213;115496;275307;
2150-EAG-2;Zuider Legmeerpolder, Kudelstaart;Zuider L;OvWa_2150-EAG-2_Zuider L;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1385254;23921;87039;
2220-EAG-3;Zuid Bijlmer, Recreatiegebied De Hoge Dijk;Zuid Bij;OvWa_2220-EAG-3_Zuid Bij;NVT;NVT;;M10;M1b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;249335;9018;73964;
2220-EAG-2;Zuid Bijlmer, Gaasperdam;Zuid Bij;OvWa_2220-EAG-2_Zuid Bij;NVT;NVT;;M10;M1b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;6099068;93484;351043;
1020-EAG-1;Westerpark, Westerpark;Westerpa;OvWa_1020-EAG-1_Westerpa;NVT;NVT;;M8;M11;;;stadspark;KRWWaterTypes en Opmerking1 overgenomen uit 2016;63252;401;3233;
6400-EAG-1;Watergraafsmeer, zuid;Watergra;OvWa_6400-EAG-1_Watergra;NVT;NVT;M1a;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4662673;52908;205748;
6400-EAG-2;Watergraafsmeer, noord;Watergra;OvWa_6400-EAG-2_Watergra;NVT;NVT;M1a;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1158038;18689;148771;
6060-EAG-1;W.H. Vliegenbos, W.H. Vliegenbos;W.H. Vli;OvWa_6060-EAG-1_W.H. Vli;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 6060;254007;7952;18689;
3250-EAG-1;Vreeland (oost), Vreeland (oost);Vreeland;OvWa_3250-EAG-1_Vreeland;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;109229;3908;13299;
1060-EAG-1;Vondelpark, Vondelpark;Vondelpa;OvWa_1060-EAG-1_Vondelpa;NVT;NVT;M10;M10;M11;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;733376;9537;85570;
2280-EAG-1;Venserpolder, Venserpolder;Venserpo;OvWa_2280-EAG-1_Venserpo;NVT;NVT;M10;M8;M3;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;7935330;85048;398071;
2200-EAG-1;Venserpolder (volkstuinparken), Nieuw Vredelust, Ons Lustoord en Dijkzicht;Venserpo;OvWa_2200-EAG-1_Venserpo;NVT;NVT;;M1a;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;508547;28542;61610;
2350-EAG-1;Venserpolder (volkstuinpark Amstelglorie), Venserpolder (volkstuinpark Amstelglorie);Venserpo;OvWa_2350-EAG-1_Venserpo;NVT;NVT;M1a;M1a;M1a;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;268543;11624;26478;
2505-EAG-1;Veldhuiswetering, Veldhuisweg;Veldhuis;OvWa_2505-EAG-1_Veldhuis;NVT;NVT;M8;M8;M10;M10;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4709823;180997;689510;
7090-EAG-1;Uitstroom gemaal Zeeburg, Uitstroom gemaal Zeeburg;Uitstroo;OvWa_7090-EAG-1_Uitstroo;NVT;NVT;M1a;M1a;M3;;;;Watertype nog nakijken (geoweb/gis doet niet);27177;684;11508;
2140-EAG-3;Uithoornsche Polder, Zijdelmeer;Uithoorn;OvWa_2140-EAG-3_Uithoorn;NVT;NVT;;M8;M25;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;313020;8233;141687;
2140-EAG-2;Uithoornsche Polder, Uithoornse Polder zuid;Uithoorn;OvWa_2140-EAG-2_Uithoorn;NVT;NVT;M10;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;492717;26942;78255;
2140-EAG-1;Uithoornsche Polder, Uithoornse Polder midden;Uithoorn;OvWa_2140-EAG-1_Uithoorn;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1368003;63432;254539;
