ident;DBID;Namespace;LokaalID;Naam;Type maatregel voor doelen-model;Opmerkingen GtH;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;kosten;totale belasting;oeverlengte;% beschoeid;% bebost;% overig ongeschikt;Ganzen beheren;Natuurvriendelijk onderhouden;belastingreductie opmerking;hulpkolom (km);hulpkolom;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
11;76537;NL11;GEB-x;Volgen en sturen;Onderzoek;;SGBP2 2015-2021;2015-2021;BE08;;MA;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;NVT;;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;#N/B;2021;LM_20190916;#N/B;;;
12;76540;NL11;GEB-xxxx;Onderzoek woekeren waterplanten in vaarten en sloten;Onderzoek;;SGBP2 2015-2021;2015-2021;S01;;MA;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;NVT;;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;#N/B;2021;LM_20190916;#N/B;;;
13;76563;NL11;NL11_0150;Ecologische onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden AGV;;SGBP2 2015-2021;2015-2021;BE03;Deze maatregel heeft ook invloed op ESF 6 verwijdering.;MA;MA;MA;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;325;0;0;0;0;ESF4, ESF6;;;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;#N/B;;#N/B;#N/B;;;1;#N/B;2021;LM_20190916;#N/B;;;
14;;;;Goede lanbouwpraktijk;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;BR01;;MA;MA;MA;;;;DAW;;0;0;0;0;0;0;ESF1;afhankelijk van participatie van omgeving;Waterschap Amstel Gooi en Vecht;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;?;mg/m2/dag;;;0;#N/B;2027;LM_20190916;#N/B;;;
15;;;;Goede waterbeheerpraktijk;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;IM12;;MA;MA;MA;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF1;;geen;SGBP3;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;?;mg/m2/dag;;;0;#N/B;2027;LM_20190916;#N/B;;;
16;;;;Goede rioleringspraktijk;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;IM06;;MA;MA;MA;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF1;afhankelijk van participatie van omgeving;Gemeenten.;SGBP3;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;?;mg/m2/dag;;;0;#N/B;2027;LM_20190916;#N/B;;;
17;;;;Aanwezige natuurwaarden van oevers toetsen bij alle werken die door dijkverbetering worden uitgevoerd;Onderzoek;;SGBP3 2021-2027;2021-2027;;;MA;MA;MA;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4;;geen;SGBP3;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;0;;;;;;;
18;71310;NL11;90994;Onderzoeken toepassen andere oeverbeschoeiing;Onderzoek;;SGBP1 2009-2015;2009-2015;S01;Het uitvoeren van een onderzoek naar de mogelijkheden om die delen van de boezem, waar geen ruimte in het profiel is voor de aanleg van natuurvriendelijke oevers, toch natuurvriendelijk in te richten.;WB;NL11_1_1;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=30000.00;0;0;1;0;0;0;ESF4;opzoeken;geen;;;;;246.5;35.6;1;0;nee;ja;;;;0;nvt;;;1;Amstellandboezem;2016;LM_20190916;Amstel;;;
19;71395;NL11;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;Vis;;SGBP1 2009-2015;2009-2015;IN15;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;MW;NL11_1_1;NL11_1_1;7;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=1324000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;1;0;0;ESF5;gefaseerd;geen;;;;14.12754631;246.5;35.6;1;0;nee;ja;;;;0;nvt;0;;1;Amstellandboezem;nvt;LM_20190916;Amstel;;;
20;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_1_1;NL11_1_1;30;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;geen;;;;;246.5;35.6;1;0;nee;ja;;;;0;1/0;;;1;Amstellandboezem;2016;LM_20190916;Amstel;;;
21;76542;NL11;GEB-yy;Beperken belasting glastuinbouw;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;S05;Deze maatregel wordt genomen in waterlichaam Vaarten Westeramstel, maar heeft ook positief effect voor de Amstellandboezem. ;MW;NL11_1_1;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;loopt;DAW, Sector glastuinbouw;;;;33.38;246.5;35.6;1;0;nee;ja;0;;;3.86;mg/m2/dag;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
22;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts Ankeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven.;MW;NL11_1_1;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;;;33.38;246.5;35.6;1;0;nee;ja;0;;;0;mg/m2/dag;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
23;76536;NL11;AMS-y;Meeliften om luwe zones te creëren tbv vegetatie ontwikkeling;Luwtezone aanleggen;;SGBP2 2015-2021;2015-2021;IN20;Ombekend van omvang. Schatting enkele km hooguit. Gokje: 3 km;WB;NL11_1_1;NL11_1_1;1;n;j;Provincie Noord-Holland;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF4;opzoeken;Waterschap Amstel Gooi en Vecht;;;;;246.5;35.6;1;0;nee;ja;;24.65;;12.1703854;% van beschoeid;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
24;76567;NL11;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;Vis;;SGBP2 2015-2021;2015-2021;IN15;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;MW;NL11_1_1;NL11_1_1;2;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF5;loopt;geen;;;;14.12754631;246.5;35.6;1;0;nee;ja;;;;0;nvt;0;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
25;76564;NL11;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;Vis;;SGBP2 2015-2021;2015-2021;IN15;;MW;NL11_1_1;NL11_1_1;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF5;uitgevoerd;geen;;;;;246.5;35.6;1;0;nee;ja;;;;0;nvt;0;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
26;76529;NL11;91103;Omleiden / scheiden waterstromen Amstellandboezem;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;IN02;Voorheen: Aanleggen schoonwaterkering Kromme Mijdrecht. Deze maatregel wordt genomen in de Amstellandboezem, maar heeft ook positief effect voor Vaarten Zevenhoven en Tussenboezem Vinkeveen a en b. ;MW;NL11_1_1;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF1;loopt;geen;;;;33.38;246.5;35.6;1;0;nee;ja;0;;;0;mg/m2/dag;;;1;Amstellandboezem;2021;LM_20190916;Amstel;;;
27;;;;Flexibel peilbeheer in boezemwateren;Areaal nieuw;;SGBP2 2015-2021;niet;IM12;;MW;NL11_1_1;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4;verlies functie;NVT;;;;;246.5;35.6;1;0;nee;ja;;;;0;km;;;1;Amstellandboezem;nvt;LM_20190916;Amstel;;;
28;;;;Amoveren/ verbeteren zuivering Amstelveen;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;IM01;Verminderen belasting met nutrienten uit de RWZI.;WB;NL11_1_1;NL11_1_1;;opzoeken;j;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF1;loopt;geen;SGBP3;;;33.38;246.5;35.6;1;0;nee;ja;0;;;5;mg/m2/dag;;;0;Amstellandboezem;2027;LM_20190916;Amstel;;;
29;;;;Natuurvriendelijke dijkreconstructie (voldoende ondiep oppervlak, flauw talud, verbinding tussen land en water).;Beschoeiing aanpassen;;SGBP3 2021-2027;2021-2027;Deze maatregel staat in boezemplan. Hiermee wordt zowel het behoud van bestaande natuurwaarden als het creeren van nieuwe natuurwaarden beoogd.;Deze maatregel staat in boezemplan. Hiermee wordt zowel het behoud van bestaande natuurwaarden als het creeren van nieuwe natuurwaarden beoogd. Omvang geschat op 10% van beschoeid;;NL11_1_1;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF4;opstarten;geen;SGBP3;;;;246.5;35.6;1;0;nee;ja;;87.754;;10;% van beschoeid;;;0;Amstellandboezem;2027;LM_20190916;Amstel;;;
30;;;;Beperken van scheepvaart in grote kanalen;Scheepvaart reguleren;;SGBP3 2021-2027;niet;RO03;Scheepvaartluwe zones bieden kansen voor ecologische waterkwaliteit omdat hier minder bodemmateriaal opwerveld en golfslag de ontikkeling van (emerse) vegetatie niet remt. Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;;NL11_1_1;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4;verlies functie;?;SGBP3;;;;246.5;35.6;1;0;nee;ja;;;;0;% van overig ongeschikt;;;0;Amstellandboezem;nvt;LM_20190916;Amstel;;;
31;;;;Verwijderen waterkeringen;Areaal nieuw;;SGBP3 2021-2027;niet;IN20;Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;;NL11_1_1;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4;verlies functie;geen;;;;;246.5;35.6;1;0;nee;ja;;;;0;km;;;;Amstellandboezem;nvt;LM_20190916;Amstel;;;
32;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;BR01;Deze maatregel leidt tot 10% reductie van fosforbelasting uit polderwater. Wij zijn regionaal uit gegaan van de goede landbouwpraktijk (GLP) in 2027. Belangrijk is verder dat als gevolg van de GLP uitgaan van een grotere diepte van sloten (toename van ca 25 cm naar 40 cm). De uitworp uit een landbouwpolder neemt daardoor 10 % af, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ;MW;NL11_1_1;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;;33.38;246.5;35.6;1;0;nee;ja;0;;;2.62;mg/m2/dag;;NMI, 2019;0;Amstellandboezem;2027;LM_20190916;Amstel;;;
33;;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;2021-2027;BR01;Geldt voor alle waterlichamen. ;;NL11_1_1;NL11_1_1;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4;stimuleren;Gemeente Amstelveen, Amsterdam, De Ronde Venen, Diemen, Nieuwkoop, Ouder-Amstel, Stichtse Vecht, Uithoorn en Woerden, Provincie Noord-Holland, Utrecht en Zuid-Holland;SGBP3;;;;246.5;35.6;1;0;nee;ja;;;;1;1/0;;;0;Amstellandboezem;2027;LM_20190916;Amstel;;;
440;;;;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;SGBP3 2021-2028;;Een maatregel in alle waterlichamen waar dat nog relevant is;;NL11_1_1;NL11_1_1;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4;;Groengebied Amstelland, Recreatie Midden-Nederland;SGBP3;;;;246.5;35.6;1;0;nee;ja;;;;1;1/0;;;0;Amstellandboezem;2027;GH_20191205;Amstel;;;
34;71356;NL11;91122;Uitvoeren maatregelen voor P-reductie rwzi Maarssen (autonoom);P-belasting verlagen;;SGBP1 2009-2015;2009-2015;IM01;;WB;NL11_1_2;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=5300000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;1;0;0;ESF1;opzoeken;geen;;;;64.23;180.5;29.5;5;30;nee;nee;al verdisconteerd in modellen 2019;;;0;mg/m2/dag;;;1;Vecht;nvt;LM_20190916;Vecht;;;
35;71360;NL11;91131;Aansluiten ongerioleerde woonboten Vecht;P-belasting verlagen;;SGBP1 2009-2015;2009-2015;IM06;Het gaat om het aansluiten van alle ongerioleerde woonboten langs de Vecht;WB;NL11_1_2;NL11_1_2;1;n;n;Gemeente Diemen, Gooise Meren, Stichtse Vecht, Utrecht, Weesp en Wijdemeren;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=6000000.00;0;0;1;0;0;0;ESF1;uitgevoerd;Waterschap Amstel Gooi en Vecht;;;;;180.5;29.5;5;30;nee;nee;al verdisconteerd in modellen 2019;;;0;mg/m2/dag;;;1;Vecht;2016;LM_20190916;Vecht;;;
36;71375;NL11;NL11_0139;Onderzoeken verminderen belasting Vecht e.o. door RWZI Utrecht;Onderzoek;;SGBP1 2009-2015;2009-2015;IM01;Een onderzoek naar de mogelijke maatregelen om de belasting van de Vecht vanuit de rwzi Utrecht te verminderen. Het onderzoek wordt onder regie van Hoogheemraadschap De Stichtse Rijnlanden uitgevoerd.;WB;NL11_1_2;NL11_1_2;1;n;j;HDSR;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;;;64.23;180.5;29.5;5;30;nee;nee;0;;;0;nvt;;;1;Vecht;2016;LM_20190916;Vecht;;;
37;71392;NL11;NL11_0189;Uitvoeren waterbeheermaatregelen Vecht, baggeren waterbodem;Baggeren;;SGBP1 2009-2015;2009-2015;BE04;Het gaat om een langjarig saneringsproject waarbij de gehele Vecht op verschillende locaties wordt gebaggerd van waterkwaliteitsoverwegingenDe omvang is bij de rapportage 2013 op basis van monitoring gegevens naar boven bijgesteld van 2.000.000 m3 naar 2.500.000 m3;WB;NL11_1_2;NL11_1_2;2500000;m3;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=45000000.00;0;0;2500000;0;0;0;ESF3;uitgevoerd;;;;;;180.5;29.5;5;30;nee;nee;;;;0;% van overig ongeschikt;;;1;Vecht;2016;LM_20190916;Vecht;;;
38;71358;NL11;91127;Aanleggen en onderhouden natuurvriendelijke oevers Vecht, fase 1;Luwtezone aanleggen;;SGBP1 2009-2015;2009-2015;IN08;Het gaat om zowel het aanleggen van nieuwe natuurvriendelijke oevers op locaties waar dit binnen het bestaande profiel mogelijk is als om het opknappen van bestaande natuurvriendelijke oevers.;WB;NL11_1_2;NL11_1_2;3;km;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=30000.00|Investering per planperiode=585000.00;0;0;3;0;0;0;ESF4;uitgevoerd;geen;;;;;180.5;29.5;5;30;nee;nee;;;;0;% van beschoeid;;;1;Vecht;2016;LM_20190916;Vecht;;;
39;71359;NL11;91128;Uitvoeren beschermingsmaatregelen voor behoud natuurvriendelijke oevers;Achteruitgang vermijden;;SGBP1 2009-2015;2009-2015;RO09;Een set van maatregelen om schade aan oevers door vaarbewegingen boten te beperken;WB;NL11_1_2;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=120000.00|Investering per planperiode=487500.00;0;0;1;0;0;0;ESF4;uitgevoerd;geen;;;;;180.5;29.5;5;30;nee;nee;;;;0;handmatig;;;1;Vecht;2016;LM_20190916;Vecht;;;
40;71361;NL11;91132;Aanleggen schuilplaatsen voor Snoek (buizen);Vis;;SGBP1 2009-2015;2009-2015;IN17;De maatregel betreft het aanleggen van voldoende paai- en rustlocaties voor Snoek.;WB;NL11_1_2;NL11_1_2;1;ha;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=60938.00;0;0;0;0;1;0;ESF4;opzoeken/afvoeren;?;;;;;180.5;29.5;5;30;nee;nee;;;;0;nvt;;;1;Vecht;nvt;LM_20190916;Vecht;;;
41;71362;NL11;91133;Onderzoeken aanpassen spuiregime Muiden;Onderzoek;;SGBP1 2009-2015;2009-2015;S01;Een onderzoek naar de mogelijkheden om het spuiregime bij Muiden aan te passen. Dit blijkt niet zinvol;WB;NL11_1_2;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=120000.00;0;0;1;0;0;0;ESF1;uitgevoerd;geen;;;;;180.5;29.5;5;30;nee;nee;;;;0;nvt;;;1;Vecht;2016;LM_20190916;Vecht;;;
42;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_1_2;NL11_1_2;30;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;geen;;;;;180.5;29.5;5;30;nee;nee;;;;0;1/0;;;1;Vecht;2016;LM_20190916;Vecht;;;
43;71357;NL11;91124;Realiseren P-reductie rwzi Horstermeer (autonoom);P-belasting verlagen;;SGBP1 2009-2015;2009-2015;IM01;Het gaat om het realiseren van maatregelen om de rwzi aan de wettelijke lozingseisen te laten voldoen;MW;NL11_1_2;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=10500000.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;geen;;;;;180.5;29.5;5;30;nee;nee;al verdisconteerd in modellen 2019;;;0;mg/m2/dag;;;1;Vecht;2016;LM_20190916;Vecht;;;
44;76564;NL11;NL11_0157;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;Vis;;SGBP1 2009-2015;2009-2015;IN15;Bij zeesluis Muiden is het beheer aangepast zodat vis tijdens de trekperiode kan passeren.;MW;NL11_1_2;NL11_1_2;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF5;uitgevoerd;geen;;;;;180.5;29.5;5;30;nee;nee;;;;0;nvt;0;;1;Vecht;2016;LM_20190916;Vecht;;;
