ident;DBID;Namespace;LokaalID;Naam;Vertaling naar doelen-model;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kosten;totale belasting;totale oeverlengte;belastingreductie opmerking;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
230;76555;NL11;L-X;Onderzoek drinkwaterwinning Loosdrecht;nvt;SGBP2 2015-2021;2015-2021;S01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Loosdrechtse Plassen en Ster en Zodden.  ;MW;NL11_5_1;1;n;j;Provincie Noord-Holland;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;;;;0.553;351.1334616;;0;mg/m2/dag;;;1;Loosdrechtseplassen;2021;LM_20190916;Vecht;;;
231;;;;Beperken fosfaatbelasting ism polder doorstroomprincipe ;p;SGBP2 2015-2021;2015-2021;IM12;de defosfateringen;WB;NL11_5_1;3;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;;;;0.553;351.1334616;kwart van achterland;0.05525;mg/m2/dag;;;;Loosdrechtseplassen;nvt;LM_20190916;Vecht;;;
232;76521;NL11;91080;Uitvoeren herstel- en inrichtingsmaatregelen Tienhovense plassen, fase 1;areaal beter;SGBP2 2015-2021;2015-2021;BE06;De maatregel betreft het verwijderen van boom- en groenopslag langs watergangen in het legakkergebied van het centrale deel van de plas en rondom de petgaten.De maatregel wordt als onderdeel van één maatregelpakket (C10) door Natuurmonumenten uitgevoerd in het kader haar LIFE-subsidiecontract met de EU.De uitvoering van de maatregel loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid.;WB;NL11_5_1;3.4;km;j;Natuurmonumenten;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;3.4;0;0;0;ESF2, ESF4;;;;0.553;351.1334616;;0.51;ha;;;1;Loosdrechtseplassen;2021;LM_20190916;Vecht;;;
233;76525;NL11;91093;Uitvoeren herstel- en inrichtingsmaatregelen Tienhovense Plassen, fase 2;baggeren;SGBP2 2015-2021;2015-2021;BE04;Het gaat om het baggeren van een geschatte 8 hectare eutrofe waterbodems in deTienhovense plassen.De maatregel wordt door Natuurmonumenten in het kader van haarLIFE-subsidiecontract met de EU uitgevoerd. (C12)De uitvoering van de maatregel loopt overeenkomstig de duur van hetLIFE-subsidiecontract van 2013 tot en met 2018. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid.;WB;NL11_5_1;120000;m3;j;Natuurmonumenten;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;26500;0;0;93500;ESF2, ESF4;;;;0.553;351.1334616;Tienhoven terugbrengen in de balans;0;;;;1;Loosdrechtseplassen;nvt;LM_20190916;Vecht;;;
234;;;;Brasem verwijderen.;abb;SGBP3 2021-2027;2021-2027;BE01;Deze maatregel is pas zinvol nadat alle belastingmaatregelen genomen zijn en de externe belasting lager is dan de kritische grens. Deze maatregel heeft ook invloed op ESF2, lichtklimaat.;;NL11_5_1;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1, ESF2;;;;0.553;351.1334616;;400;kg/;;;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
235;;;;Frequentie riooloverstorten uit Nieuw en Oud Loosdrecht omlaag brengen door afkoppelen.;p;SGBP3 2021-2027;2021-2027;IM03;Dit is een autonome maatregel die door de gemeente wordt uitgevoerd.;;NL11_5_1;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;;;;0.553;351.1334616;schatting obv WGP Zuidelijke Vechtplassen;0.01;mg/m2/dag;;;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
236;;;;Luwtestructuren voor het verkorten van strijklengte en verhogen draagkracht;luwte;SGBP3 2021-2027;2021-2027;IN20;Er wordt ook gekeken of permanente structuren geschikt zijn als nieuw ondiep areaal voor de ontwikkeling van waterriet (oevers). Dit is van groot belang voor de vogeldoelstellingen in dit gebied. Bij aanleg van oevers is een flauw talud van 1:15 van belang voor een goede ontwikkeling. De huidige taluds van 1:5 zijn vaak veel te steil.;;NL11_5_1;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;;;;0.553;351.1334616;verhoging kritische grens;?;mg/m2/dag;;;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
237;;;;Zuiveren van afstromend regenwater (en mogelijke foutieve aansluiting);p;SGBP3 2021-2027;2021-2027;IM04;"Gegeven de gemeten fosforconcentraties in dit onderzoek en de door Waternet opgestelde waterbalans is de bijdrage van het verharde oppervlak aan de fosforvracht van de plassen bepaald op twaalf tot zestien procent. Doordat allerlei andere bronnen van fosfor op dit moment door Waternet worden aangepakt (of recent zijn aangepakt) neemt de procentuele bijdrage van het totale verharde oppervlak in het afvoergebied van de plassen toe naar zeventien tot maximaal drieëntwintig procent. De afstroming vanaf verhardingen op en rond het hoefijzer is verantwoordelijk voor negen tot maximaal zestien procent van de totale P-belasting van de Loosdrechtse plassen. De fosforbelasting van de plassen kan substantieel verlaagd worden door maatregelen te treffen waarmee het afstromende hemelwater wordt gezuiverd.
Hiervoor is de volgende combinatie van maatregelen aan te bevelen: 1) bronmaatregelen; 2) bodempassage en 3) op locaties waar een bodempassage niet inpasbaar is
of een onvoldoende rendement levert, wordt een lokale zuivering toegepast in de vorm van een lijngoot met fosforbindend filtermateriaal, een lamellenfilter en/of een hydrodynamische afscheider inclusief een substraatfilter.";;NL11_5_1;1;n;j;Gemeente Wijde meren & Hoogheemraadschap Amstel, Gooi en Vecht ;;0;0;0;0;0;0;ESF1;waarschijnlijk disproportionele kosten;Gemeente Wijdemeren;;0.553;351.1334616;0;0.04;mg/m2/dag;;;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
238;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;p;SGBP3 2021-2027;2021-2027;BR01;In het stergebied is nog landbouwactiviteit, waarbij geimporteerd mest wordt uitgereden.;MW;NL11_5_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;0.553;351.1334616;0;0.01;mg/m2/dag;;NMI, 2019;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
239;;;;Ontvangstvoorziening vuilwatertanks, varende voorziening;p;SGBP3 2021-2027;2021-2027;IM06;Varend publiek toilet, idem voor Wijde Blik;;NL11_5_1;;;;?;;0;0;0;0;0;0;ESF1;;;;0.553;351.1334616;0;0;mg/m2/dag;;;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
240;71337;NL11;91072;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 0 - effect 4;;SGBP1 2009-2015;2009-2015;BE01;Het gaat om het toepassen van actief biologisch beheer (visstand monitoren en vis wegvangen).De maatregel vormt één pakket met de andere drie maatregelen van fase 0 in dit gebied.;WB;NL11_5_3;230;ha;n;Gemeente Amsterdam;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=75000.00;0;0;230;0;0;0;ESF1;uitgevoerd;;;;9.499260324;ABB heeft geen effect op belasting of P-krit;0;mg/m2/dag;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
241;71338;NL11;91073;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 1;;SGBP1 2009-2015;2009-2015;BE01;Het gaat om het toepassen van actief biologisch beheer (visstand monitoren en vis wegvangen).Dit is de voortzetting van de maatregel die al in de periode 2007-2009 is uitgevoerd.;WB;NL11_5_3;230;ha;j;Gemeente Amsterdam;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=12000.00;0;0;230;0;0;0;ESF1;uitgevoerd;;;;9.499260324;ABB heeft geen effect op belasting of P-krit;0;mg/m2/dag;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
242;71339;NL11;91074;Uitvoeren waterbeheermaatregelen Loenderveen-Oost;;SGBP1 2009-2015;2009-2015;IN14;Het gaat om het aanpassen van de stuw aan de Lambertszkade en het instellen van flexpeil;WB;NL11_5_3;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=73000.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;;;;9.499260324;Flexpeil, effect al in balans huidige situatie, niet nog eens meerekenen. Effect niet hoog of zelfs negatief door de langere verblijftijd;0;mg/m2/dag;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
243;71299;NL11;90170;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 2 - effect 2;;SGBP1 2009-2015;2009-2015;IN13;Het gaat om het aanvullend aanleggen van extra hectares vooroevers om zo een natuurlijke oevervegetatie (riet) tot ontwikkeling te laten komen.De maatregel is een voortzetting van de maatregel die al in de periode 2007-2009 is uitgevoerd. ;WB;NL11_5_3;0.1;ha;j;Gemeente Amsterdam;Investering per planperiode=73100.00|Beheer en Onderhoud per planperiode=0.00;0;0;0.1;0;0;0;ESF4;uitgevoerd;;;;9.499260324;;0.1;ha;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
244;71333;NL11;91067;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 0 - effect 1;;SGBP1 2009-2015;2009-2015;BE03;Het gaat om een beheer/herstel van 500 m legakkers door het jaarlijks verwijderen van nieuwe boomopslag, maaien en afvoeren van maaisel. De maatregel vormt één pakket met de andere 3 maatregelen van fase 0 in dit gebied;WB;NL11_5_3;0.5;km;n;Gemeente Amsterdam;Investering per planperiode=6825.00|Beheer en Onderhoud per planperiode=0.00;0;0;0.5;0;0;0;ESF4;uitgevoerd;;;;9.499260324;;0.075;ha;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
245;71334;NL11;91068;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 2 - effect 1;;SGBP1 2009-2015;2009-2015;BE03;Het gaat om het beheer van 500 meter legakkers door het jaarlijks verwijderen van nieuwe boom- en groenopslag. maaien, e.d.De maatregel is een voortzetting van de maatregel uit de periode 2007-2009;WB;NL11_5_3;0.5;km;j;Gemeente Amsterdam;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0.5;0;0;0;ESF4;uitgevoerd;;;;9.499260324;;0.075;ha;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
246;71335;NL11;91069;Uitvoeren herstelmaatregelen Loenderveen Oost, fase 0 - effect 2;;SGBP1 2009-2015;2009-2015;IN13;Het gaat om de aanleg van vooroevers om zo een natuurlijke oevervegetatie (riet) tot ontwikkeling te laten komenDe maatregel vormt één pakket met de andere drie maatregelen van fase 0 in dit gebied.;WB;NL11_5_3;0.3;ha;n;Gemeente Amsterdam;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=600000.00;0;0;0.3;0;0;0;ESF4;uitgevoerd;;;;9.499260324;;0.3;ha;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
247;71336;NL11;91071;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 0 - effect 3;;SGBP1 2009-2015;2009-2015;IN12;Het gaat om de reconstructie van 10 poelen en 5 slenken/eilanden.De maatregel vormt één pakket met de andere drie maatregelen van fase 0 in dit gebied.;WB;NL11_5_3;0.1;ha;n;Gemeente Amsterdam;Investering per planperiode=40000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0.1;0;0;0;ESF4;uitgevoerd;;;;9.499260324;;0.1;ha;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
248;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_5_3;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;9.499260324;;1.424889049;ha;;;1;Loenderveenoost;2016;LM_20190916;Vecht;;;
249;76535;NL11;AMS-x;Beperken juveniele ganzen  (voortzetting);areaal beter;SGBP2 2015-2021;2015-2021;BE08;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Terra Nova, Loenderveen-Oost en Waterleidingplas. ;MW;NL11_5_3;1;n;j;Amsterdam;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF4;;;;;9.499260324;;?;;;;1;Loenderveenoost;2021;LM_20190916;Vecht;;;
250;76535;NL11;AMS-x;Beperken juveniele ganzen  (voortzetting);areaal beter;SGBP2 2015-2021;2015-2021;BE08;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Terra Nova, Loenderveen-Oost en Waterleidingplas. ;MW;NL11_5_4;1;n;j;Amsterdam;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF6;;;;;35.59744607;;;;;;1;TerraNova;2021;LM_20190916;Vecht;;;
251;;;;Baggeren van slibdepots;baggeren;SGBP3 2021-2027;2021-2027;IM12;Er liggen slibdepots met eutrofe bagger uit de voedselrijke periode van Loederveen.;WB;NL11_5_3;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;waarschijnlijk niet kosteneffectief in SGBP3, omdat de effectiviteit een vraagteken is?;;;;9.499260324;waarschijnlijk niet kosteneffectief in SGBP3, omdat de effectiviteit een vraagteken is?;0;mg/m2/dag;;paleobotanisch onderzoek;;Loenderveenoost;2027;LM_20190916;Vecht;;;
252;;;;Bestrijden van ganzen ;areaal beter;SGBP3 2021-2027;2021-2027;;Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;;NL11_3_6;;;;Provincie Noord-Holland;;0;0;0;0;0;0;ESF6;;Provincie Noord-Holland;;;34.78965353;;;;;;;Spiegelplas;2027;;Vecht;;;
253;;;;Verkorten verblijftijd: vergroten draagkracht en vergroten 'belasting' met macroionen als calcium en bicarbonaat.;p;SGBP3 2021-2027;2021-2027;IN03;Het water uit de Bethunepolder wordt via de defosfatering van de Waterleidingplas naar Loenderveen en Loosdrecht gebracht.;WB;NL11_5_3;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;;;;;9.499260324;toch nog 4%;0.002;mg/m2/dag;;;;Loenderveenoost;2027;LM_20190916;Vecht;;;
254;;;;IJzersuppletie;;SGBP1 2009-2015;2010-2011;BR10;;;NL11_5_4;1;n;n;Waternet, sector Drinkwater?;;0;0;0;0;0;0;ESF1;;;;;35.59744607;te laag gedoseerd, uitgewerkt;0;mg/m2/dag;;;0;TerraNova;2016;LM_20190916;Vecht;;;
255;;;;Populatiebeheer van ganzen tot situatie 2003;areaal beter;SGBP3 2021-2027;2021-2027;;Natuurmonumenten legt vlotjes aan voor visdieven en die jagen ganzen weg en waterriet wordt afgerasterd en er worden eieren te schudden.;WB;NL11_4_1;;;;Natuurmonumenten, provincie;;0;0;0;0;0;0;ESF6;;;;;107.1180378;;;;;;;Naardermeer;2027;LM_20190916;Vecht;;;
256;71331;NL11;91063;Uitvoeren actief biologisch beheer;;SGBP1 2009-2015;2009-2015;BE01;Het gaat visstandsbemonstering als ook het wegvangen van vis;WB;NL11_5_4;85;ha;j;Gemeente Amsterdam;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=12000.00;0;0;85;0;0;0;ESF1;uitgevoerd;;;;35.59744607;#N/B;0;mg/m2/dag;;;1;TerraNova;2016;LM_20190916;Vecht;;;
257;71332;NL11;91066;Uitvoeren waterbeheermaatregelen Terra Nova;;SGBP1 2009-2015;2009-2015;IN02;"Het betreft het aanleggen van een stuw en het automatiseren van het gemaal onder de noemer ""Waterstromen omleiden/scheiden door peilmaatregelen""";WB;NL11_5_4;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=292500.00;0;0;1;0;0;0;ESF1;uitgevoerd;;;0.85;35.59744607;0;0.11;mg/m2/dag;;;1;TerraNova;2016;LM_20190916;Vecht;;;
258;71329;NL11;91059;Uitvoeren legakkerherstel Terra Nova;;SGBP1 2009-2015;2009-2015;BE06;Het gaat om het legakkerstel van 2 km vooroever in het zuidelijk deel van het gebied en het beheer van 500 m legakkers;WB;NL11_5_4;2.5;km;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;2.5;0;0;0;ESF4;uitgevoerd;;;0.85;35.59744607;;0.375;ha;;;1;TerraNova;2016;LM_20190916;Vecht;;;
259;71330;NL11;91062;Uitvoeren herstel- en inrichtingsmaatregelen Terra Nova (autonoom);;SGBP1 2009-2015;2009-2015;BE08;Het gaat om één pakket van de volgende deelmaatregelen:- Toepassen actief biologisch beheer (visstand monitoren en vis wegvangen, 85 ha)- Aanleggen 3,5 kilometer vooroevers inclusief het kappen van bomen als legakkerherstel- Het kappen van bomen langs 2,0 kilometer bestaande vooroevers- Het jaarlijks verwijderen van boom- en groenopslag- Het verwijderen van kroos en drijflagen (1 ha);WB;NL11_5_4;5;n;n;Gemeente Amsterdam;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=550000.00;0;0;5;0;0;0;ESF4;uitgevoerd;;;0.85;35.59744607;;?;;;;1;TerraNova;2016;LM_20190916;Vecht;;;
260;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_5_4;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;35.59744607;;5.33961691;ha;;;1;TerraNova;2016;LM_20190916;Vecht;;;
261;76564;NL11;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;vis;SGBP2 2015-2021;2015-2021;IN15;Gemaal Terra Nova is niet veilig voor vis. Hier wordt een 1-zijdige passage mogelijk gemaakt met een visveilige pomp.;MW;NL11_5_4;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF5;loopt;intern onderhoud en beheer;;;35.59744607;;;;0;;1;TerraNova;2021;LM_20190916;Vecht;;;
262;;;;Bestrijden van ganzen ;;SGBP3 2021-2027;2021-2027;;Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet, Woudaap en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;;NL11_5_1;;;;?;;0;0;0;0;0;0;ESF6;;;;0.553;351.1334616;;;;;;;Loosdrechtseplassen;2027;LM_20190916;Vecht;;;
263;;;;Ijzersuppletie of bezanden deel 2;baggeren;SGBP3 2021-2027;2021-2027;BR10;Deel 1 heeft onvoldoende effect gehad en moet eerst geevalueerd. Ook hier geld dat de externe belasting voldoende laag zijn.;;NL11_5_4;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;;;;0.85;35.59744607;na evaluatie eerste poging met ijzer;0.04;mg/m2/dag;;;;TerraNova;2027;LM_20190916;Vecht;;;
264;;;;Afkoppelen westelijk lanbouwgebied;p;SGBP3 2021-2027;2021-2027;BE01;Deze maatregel is alleen noodzakelijk als dit land via de plas afwatert. In de P belasting uit de balans van 2013 is uitspoeling zeer laag: de verwachting is dat deze is onderschat.;;NL11_5_4;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;;;;;35.59744607;;?;mg/m2/dag;;;;TerraNova;2027;LM_20190916;Vecht;;;
265;;;;Kreeften verwijderen: biomanipulatie;abb;SGBP3 2021-2027;2021-2027;BE01;Dit is alleen zinvol als de P belasting onder de kritische grens ligt. Deze maatregel heeft ook effect op ESF6, verwijdering.;;NL11_5_4;1;n;j;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF2, ESF6;;;;;35.59744607;;400;kg/ha;;;;TerraNova;2027;LM_20190916;Vecht;;;
266;71381;NL11;NL11_0146;Instellen polderdoorstroomprincipe, baggermaatregelen;;SGBP1 2009-2015;2009-2015;BE04;Het betreft alle baggermaatregelen die de terreinbeheerder in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoeren. Deze maatregel heeft ook invloed op ESF3, productiviteit waterbodem.;WB;NL11_6_1;12000;m3;j;Natuurmonumenten;Investering per planperiode=2647000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;12000;0;0;ESF1, ESF3;;;;;331.4394787;extra retentie door grotere waterdiepte, minder nutrientbeschikbaarheid;0;mg/m2/dag;;;1;Ster en zodden;nvt;LM_20190916;Vecht;;;
267;71306;NL11;90922;Instellen polderdoorstroomprincipe, waterbeheermaatregelen;;SGBP1 2009-2015;2009-2015;IN02;Het betreft alle waterbeheer- en inrichtingsmaatregelen die het waterschap in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoerenVoorbeelden van maatregelen zijn:- Aanleggen duikers, stuwen- Graven nieuwe watergangen ;WB;NL11_6_1;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1246000.00;0;0;1;0;0;0;ESF1;uitgevoerd;;;0.553;331.4394787;;0;mg/m2/dag;;;1;Ster en zodden;2016;LM_20190916;Vecht;;;
268;71328;NL11;91055;Instellen polderdoorstroomprincipe, beheer- en inrichtingsmaatregelen;;SGBP1 2009-2015;2009-2015;IN20;Het betreft alle beheer- en inrichtingsmaatregelen die de terreinbeheerder in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoeren, waaronder het gebiedsproject VuntusVoorbeelden van maatregelen zijn:- Uitgraven petgaten- Verwijderen boom- en groenopslag- PlaggenDe uitvoering van de maatregelen gaat gebeuren in het kader van het LIFE-subsidiecontract met de EU.De uitvoering van de maatregelen loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018;WB;NL11_6_1;1;n;j;Natuurmonumenten;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1803000.00;0;0;0;1;0;0;ESF1;;;;;331.4394787;;0;mg/m2/dag;;;1;Ster en zodden;nvt;LM_20190916;Vecht;;;
269;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_6_1;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;331.4394787;;49.71592181;ha;;;1;Ster en zodden;2016;LM_20190916;Vecht;;;
270;76574;NL11;ST-x;Beperken fosfaatbelasting ism polder doorstroomprincipe ;p;SGBP2 2015-2021;2015-2021;IM12;Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid omdat macrionen uit kwelwater beter benut kunnen worden.;WB;NL11_6_1;3;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;3;0;0;0;0;0;ESF1, ESF4;;;;0.553;331.4394787;Door defosfatering dmv ijzerzand. Polderdoorstroomprincipe leidt kwelwater door de sloten ipv direct naar de hoofdwatergang;1.650113227;mg/m2/dag;;;1;Ster en zodden;2021;LM_20190916;Vecht;;;
271;76520;NL11;91055;Instellen polderdoorstroomprincipe, beheer- en inrichtingsmaatregelen;;SGBP2 2015-2021;2015-2021;IN20;Het betreft alle beheer- en inrichtingsmaatregelen die de terreinbeheerder in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoeren. Deelgebieden zijn: Vuntus, Ster, Weerslootgebied en KerkelandenVoorbeelden van maatregelen zijn: (C11)- Uitgraven petgaten- Verwijderen boom- en groenopslag- PlaggenDe uitvoering van de maatregelen gaat gebeuren in het kader van het LIFE-subsidiecontract met de EU.De uitvoering van de maatregelen loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018;WB;NL11_6_1;1;n;j;Natuurmonumenten;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;;;;;331.4394787;;?;mg/m2/dag;;;1;Ster en zodden;2021;LM_20190916;Vecht;;;
272;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;p;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_6_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;331.4394787;is al extensief gebied;0;mg/m2/dag;;NMI, 2019;1;Ster en zodden;2021;LM_20190916;Vecht;;;
273;76509;NL11;90922;Instellen polderdoorstroomprincipe, waterbeheer- en inrichtingsmaatregelen;p;SGBP2 2015-2021;2015-2021;IN02;Omleiden waterstromen om macroionen vast te houden in het gebied.;WB;NL11_6_1;2;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;2;0;0;0;0;0;ESF4;;;;;331.4394787;;?;?;;;1;Ster en zodden;2021;LM_20190916;Vecht;;;
274;76561;NL11;NL11_0146;Instellen polderdoorstroomprincipe, baggermaatregelen;;SGBP2 2015-2021;2015-2021;BE04;Het betreft alle baggermaatregelen die de terreinbeheerder in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoeren.;WB;NL11_6_1;12000;m3;j;Natuurmonumenten;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;9169;0;0;2831;ESF3;;;;;331.4394787;extra retentie door grotere waterdiepte, minder nutrientbeschikbaarheid;0;mg/m2/dag;;;1;Ster en zodden;nvt;LM_20190916;Vecht;;;
