koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Initiatiefnemer.waternet;EUFonds.code;Kosten;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen GtH;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast
1;;NL11;NL11_1_1;Amstellandboezem;;Amoveren / verbeteren zuivering Amstelveen;SGBP3 2021-2027;2021-2027;Verminderen belasting met nutriënten uit de RWZI. Redeneerlijn RWZI's: het is kosteneffectief (relatief kostenneutraal als exploitatiekosten worden meegenomen) voor een relatief groot oppervlak dat niet altijd zichtbaar is in zeer grote waterlichamen zoals het boezemystee. In het licht van klimaatverandering is de verwachting dat effecten van lozingen in de toekomst groter worden. Best beschikbare techniek moet worden toegepast conform richtlijnen KRW.;IM01;MW;;;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE ??: Marinka of Maarten om kosten op te geven.;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;planvorming;geen;SGBP3;;;ESF1;5;mg/m2/dag;;0;2027;NL11_1_1;LM_20190916
14;;NL11;NL11_1_1;Amstellandboezem;;Beperken van scheepvaart in grote kanalen;SGBP3 2021-2027;niet;Scheepvaartluwe zones bieden kansen voor een betere ecologische waterkwaliteit omdat hier minder bodemmateriaal opwervelt en de remmende werking van golfslag op de ontwikkeling van (emerse) vegetatie vermindert. Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;RO03;WB;;;-;n;;Geen;Geen;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - overig;0;0;0;0;0;0;;;;Scheepvaart reguleren;;niet uitvoeren: verlies functie;?;SGBP3;;;ESF4;0;% van overig ongeschikt;;0;nvt;NL11_1_1;LM_20190916
17;;NL11;NL11_1_1;Amstellandboezem;;Natuurvriendelijke dijkreconstructie (voldoende ondiep oppervlak, flauw talud, verbinding tussen land en water);SGBP3 2021-2027;2021-2027;Deze maatregel staat in het boezemplan. De inrichting van de boezem bepaalt of deze geschikt is als leefmilieu voor flora en fauna en is daarmee van invloed op de ecologische waterkwaliteit. Ingrepen in de inrichting van de boezem kunnen er daardoor voor zorgen dat de waterkwaliteit verbetert. Anderzijds moet worden voorkomen dat ingrepen in de boezem ervoor zorgen dat de inrichting en ecologische waterkwaliteit verslechteren.;IN07;MW;;1;km;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE GE: invullen door Marjolein Reerink: kosten per meter. Schatting maken mbv het dijkteam (via ACTIE GE) van aantal km dat de komende 7 jaar wordt verbeterd.;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Beschoeiing aanpassen;"hier zijn wel diverse mogelijkheden voor bij dijkverbeteringen. Idee om eens een presentatie hierover te geven in het dijkenteamoverleg (2-wekelijks op dinsdagochtend om 8.30 a 9.00; contactpersoon Isolde Apel)";bestuurlijk vastgesteld;geen;Boezemplan;;;ESF4;10;% van beschoeid;;0;2027;NL11_1_1;LM_20190916
29;;NL11;NL11_1_1;Amstellandboezem;;Toepassen van ecologisch onderhoud bij oevers van hoofdwateren ;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is.;BE03;MW;;;km;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;bestuurlijk vastgesteld;Groengebied Amstelland, Recreatie Midden-Nederland;SGBP3;;;ESF4;1;1/0;;0;2027;NL11_1_1;GH_20191205
30;;NL11;NL11_1_1;Amstellandboezem;;Verwijderen waterkeringen;SGBP3 2021-2027;niet;Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;IN20;MW;;;n;n;;Geen;Geen;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Areaal nieuw;;niet uitvoeren: verlies functie;geen;;;;ESF4;0;km;;0;nvt;NL11_1_1;LM_20190916
77;;NL11;NL11_1_1;Amstellandboezem;GEB-y;Maatregelen in de landbouw om nutriëntenbelasting op de waterlichamen te beperken;SGBP3 2021-2027;2021-2027;"Deze maatregel is relevant voor dit waterlichaam omdat er veel agrarische polders naar de boezem afwateren. De typen maatregelen zijn precisiebemesting, bodemverbetering en routemaatregelen (bufferzone). Hier vallen maatregelen onder die opgenomen zijn in agrarische beheerpakketten, investeringssubsidies maar ook vrijwillige maatregelen. We gaan samen met de landbouw een nieuwe stimuleringsregeling voor bovenwettelijke maatregelen nutriënten faciliteren. Vrijwillige maatregelen worden geagendeerd door een watermakelaar en gepresenteerd in studieclubs. Op https://maatregelen-op-de-kaart.nmi-agro.nl/ kan per perceel worden opgezocht welke maatregelen het meest uitvoerbaar en nuttig zijn. Er wordt daarbij onderscheid gemaakt in maatregelen voor een goede bodem, een duurzame bemesting (precisielandbouw), waterbeheer en end-of-pipe maatregelen.
Deze maatregel leidt tot 10% reductie van fosforbelasting uit polderwater. Wij zijn regionaal uit gegaan van de goede landbouwpraktijk (GLP) in 2027. Belangrijk is verder dat als gevolg van de GLP uitgaan van een grotere diepte van sloten (toename van ca 25 cm naar 40 cm). De uitworp uit een landbouwpolder neemt daardoor 10 % af, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ";BR01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;investeringen in groen-blauwe diensten 700 k€/jaar, ‘Waterdiepte op Maat’ met jaarbudget van 700 k€ vanaf 2021.;;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;bestuurlijk vastgesteld;DAW, agrarische collectieven;Programma agrarisch waterbeheer, waterdiepte op maat;;;ESF1;2.62;mg/m2/dag;NMI, 2019;0;2027;NL11_1_1;LM_20190916
654;;NL11;NL11_1_1;Amstellandboezem;GEB-yy;Maatregelen in de landbouw om bestrijdingsmiddelen te beperken;SGBP3 2021-2027;2021-2027;Deze maatregel is relevant voor dit waterlichaam omdat in dit gebied glastuinbouw aanwezig is en dit een van de belangrijkste bronnen van bestrijdingsmiddelen is. Het gaat hier om een instrumentele maatregel: handhaving van lozingen, lobbyen voor aanscherping normen gewasbeschermingsmiddelengebruik, verbreden teeltvrij zone (agrarisch waterbeheer). Het toelatingscriterium voor gewasbeschermingsmiddelen was in het algemeen soepeler dan de waterkwaliteitsnormen volgens de KRW (PBL 2012). De belangrijkste reden dat de toelatingscriteria soepeler waren, is dat de toelating een tijdelijk effect op de meest gevoelige organismen accepteerde. Een plafond gebaseerd op de milieubelasting per teelt in plaats van het aantal kilogrammen actieve stof draagt hieraan bij.;G02;MW;;1;-;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;niet meegenomen in doelafleiding;afspraken GRP: bestuurlijke keuze;DAW, agrarische collectieven, gemeente Uithoorn;Programma agrarisch waterbeheer, LTO glaskracht, handhandhavingsprogramma, GRP;;;ESF8;;;;0;2027;;LM_20200318
15;;NL11;NL11_1_1;Amstellandboezem;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen. Bijvoorbeeld in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente Amstelveen, Amsterdam, De Ronde Venen, Diemen, Nieuwkoop, Ouder-Amstel, Stichtse Vecht, Uithoorn en Woerden, Provincie Noord-Holland, Utrecht en Zuid-Holland;Beheer en onderhoudsprogramma;;;ESF4;1;1/0;;0;2027;NL11_1_1;LM_20190916
524;;NL11;NL11_7_1;Botshol;;Afkoppelen Kloosterkolk;Niet opgenomen in SGBP;2019;De aalscholverkolonie in de Koosterkolk brengt veel P in het watersysteem die van elders afkomstig is. De hydrologische isolatie van de Kloosterkolk functioneert nu gebrekkig: stuwen zijn lek en wateroverschotten in de Kloosterkolk worden niet weggeleid naar het landbouwgebied of de Waver. Doel is dit alsnog te doen en bij voorkeur te zorgen voor lichte 'onderdruk’ in Koosterkolk-compartiment. Deze maatregel is uitgevoerd, alleen de afvoer van water bij overschot (bij voorkeur richting Nellestein) is nog niet gerealiseerd en vraagt om nieuwe kunstwerken. Een stuw is hier wenselijker dan een klep of ander kunstwerk (richting polder Nellestein).;IM12;WB;;1;n;n;;Waterschap;Waterschap Amstel Gooi en Vecht;;;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;1;0;0;0;0;;;;P-belasting verlagen;;in uitvoering;Natuurmonumenten;vastgesteld of operationeel beheer;;;ESF1;0.380809536;mg/m2/dag;;0;2027;NL11_7_1;LM_20190916
525;71305;NL11;NL11_7_1;Botshol;90916;Onderzoeken verbetering defosfatering ;SGBP1 2009-2015;2009-2015;Het uitvoeren van een onderzoek naar de mogelijkheden om de defosfatering van inlaatwater naar het Natura 2000-gebied Botshol te verbeteren;S01;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=12000.00;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;uitgevoerd;geen;;;;ESF1;;mg/m2/dag;;1;2016;NL11_7_1;LM_20190916
526;71355;NL11;NL11_7_1;Botshol;91120;Optimaliseren peilregime Botshol;SGBP1 2009-2015;2009-2015;Het uitvoeren van maatregelen zodat het peil in voorjaar langer hoog wordt gehouden en in de zomer verder kan uitzakken in.;IN14;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;uitgevoerd;geen;;;;ESF1;0;mg/m2/dag;;1;2016;NL11_7_1;LM_20190916
527;71380;NL11;NL11_7_1;Botshol;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;uitgevoerd;geen;;;;ESF4;0;1/0;;1;2016;NL11_7_1;LM_20190916
528;76530;NL11;NL11_7_1;Botshol;91119;Graven petgaten en plaggen tbv jonge verlandingen Botshol;SGBP2 2015-2021;2015-2021;"maatregel C17 uit LIFE+ subsidie: graven petgaten 2,4 ha (deels incl. verwijderen 1,3 ha (moeras)bos incl. rooien stobben), verwijderen bos 0,2 ha en plaggen 2,3 ha gedegenereerd veenmosrietlandreeds voor 2015 gestart, echter pas na 2015 afgerond. 
Breedte petgaten geschat op 10 meter";IN20;WB;;1;n;j;;Geen overheid;Natuurmonumenten;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_83;;NL_KTM6A;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Areaal nieuw;;uitgevoerd;Natuurmonumenten;;;;ESF4;2.4;km;;1;2021;NL11_7_1;LM_20190916
529;71355;NL11;NL11_7_1;Botshol;91120;Optimaliseren peilregime Botshol;SGBP2 2015-2021;2015-2021;Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid.;IN14;WB;;1;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;uitgevoerd;geen;;;;ESF1, ESF4;?;mg/m2/dag;;1;2016;NL11_7_1;LM_20190916
31;;NL11;NL11_7_1;Botshol;;(Tijdelijk) afkoppelen of omleiden van waterstromen van Zwanengat-gebied naar de plassen ;SGBP3 2021-2027;2021-2027;In en ná neerslagrijke perioden lijken de rietlanden en (deels verjongde) petgaten van het Zwanengat-gebied slib en nutriënten af te geven aan de waterkolom. Deze worden vervolgens deels naar de plassen gevoerd. Om deze belasting weg te nemen kan het Zwanengat-gebied en het “Dwarse” van een alternatieve afvoerroute worden voorzien. Deze kan worden ingezet in perioden met een sterke uitspoeling en de daaropvolgende zomers waarin het particulair fosfor 'vrijkomt' uit de waterbodem. De afstroomrichting naar de plassen kan in die periode worden dichtgezet met een 'kwaliteitsstuw’.  Dit is een ingrijpende maatregel die we graag willen volgen met monitoring: we willen de P-flux beter inzichtelijk maken. Alternatieven die genoemd worden door provincie en NMM: baggeren sloten Zwanengat (dit lijkt kostbaar om periodiek te doen) of omleiden waterstromen, zodat water uit het Zwanengat via de defosfatering naar de Wijes wordt geleidt. Bovendien is de grote waterbehoefte waar in voorzien moet worden een risico.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE ??: Maarten vragen waar dan automatische stuwen en dammen moeten komen.;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;Natuurmonumenten;SGBP3;;;ESF1;0.266791907;mg/m2/dag;;0;2027;NL11_7_1;LM_20190916
32;;NL11;NL11_7_1;Botshol;;Baggeren van noordelijk deel Botshol;SGBP3 2021-2027;2021-2027;Basenrijke bagger kan niet verspreid worden op veenmosrietland vanwege de voedingsstoffen, afwenteling (door zuurstofloosheid) door nalevering vanuit de waterbodem verkleinen. Dit is een alternatief voor afschotten van greppels om drainage te voorkomen. Meekomend voordeel is ook dat broeikasgasemissies kleiner worden. Vraag is of ook de uitstroom defosfatering moet worden meegenomen (dit leidt tot een ander kostenplaatje).;IM12;WB;;1;n;j;;Geen overheid;Natuurmonumenten;;ACTIE GE: bagger per m3, ACTIE ??: schatten m3 bagger;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;10% uitspoeling;afweging financiele bijdrage: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP3;afweging financiele bijdrage vanuit provincie;;ESF1;0.04;mg/m2/dag;;0;2027;NL11_7_1;LM_20190916
33;;NL11;NL11_7_1;Botshol;;Drainage door begreppeling en smallere percelen verminderen;SGBP3 2021-2027;2021-2027;Voorafgaand aan deze maatregel willen we graag monitoren wat er voor kwaliteit uit de greppels komt. Het is van belang dat er ook particulair materiaal wordt bemonsterd, want dit wordt mogelijk ook getransporteerd (in de stromende regen monsters nemen, waarbij niet alleen de bovenlaag wordt bemonsterd). Schotjes plaatsen in de winter om te voorkomen dat neerslag in de winter te snel afstroomt. Deze maatregel is alleen nuttig als het Zwanengat niet wordt afgekoppeld. Hier zijn technische ontwerpen van die we uit de duinen kennen. ;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Te weinig uitgewerkt om op kosten te brengen.;NL_HAB_83;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;1% uitspoeling;afweging kosten: bestuurlijke keuze;Natuurmonumenten;SGBP3;;;ESF1;0.004;mg/m2/dag;;0;2027;NL11_7_1;LM_20190916
