DBID;Namespace;LokaalID;Naam;Type maatregel voor doelen-model;Opmerkingen GtH;SGBPPeriode.omschrijving;UitvoeringIn;afweging;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Kosten;interneKosten;beheerEnOnderhoudsKosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;Effect verwacht vanaf;aangepast;gebiedsteam;Kwaliteitselementen;
76538;NL11;GEB-xx;Onderzoek achterblijvende soortendiversiteit waterflora (planten);Onderzoek;;SGBP2 2015-2021;2015-2020;uitgevoerd;S01;;MA;MA;;MA;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;0;0;0;0;NVT;0;nvt;;;1;2021;LM_20190916;#N/B;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Onderzoek achterblijvende soortendiversiteit waterflora (planten)MA
76540;NL11;GEB-xxxx;Onderzoek woekeren waterplanten in vaarten en sloten;Onderzoek;;SGBP2 2015-2021;2015-2021;ingetrokken;S01;;MA;MA;;MA;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;NVT;0;nvt;;;1;nvt;LM_20190916;#N/B;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Onderzoek woekeren waterplanten in vaarten en slotenMA
76537;NL11;GEB-x;Volgen en sturen;Onderzoek;;SGBP2 2015-2021;2015-2021;in uitvoering;BE08;;MA;MA;;MA;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;0;0;0;0;NVT;0;nvt;;;1;2021;LM_20190916;#N/B;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Volgen en sturenMA
;;;Aanwezige natuurwaarden van oevers toetsen bij alle werken die door dijkverbetering worden uitgevoerd;Onderzoek;;SGBP3 2021-2027;2021-2027;;;;MA;MA;;MA;;;;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;;;;0;0;0;0;0;0;ESF4;0;nvt;;;0;2027;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Aanwezige natuurwaarden van oevers toetsen bij alle werken die door dijkverbetering worden uitgevoerdMA
;;;Goede lanbouwpraktijk;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;afhankelijk van participatie van omgeving;BR01;;MA;MA;;MA;;;;DAW;Waterschap Amstel Gooi en Vecht;SGBP3;;;;;0;0;0;0;0;0;ESF1;?;mg/m2/dag;;;0;2027;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Goede lanbouwpraktijkMA
;;;Goede rioleringspraktijk;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;afhankelijk van participatie van omgeving;IM06;;MA;MA;;MA;;;;Waterschap Amstel Gooi en Vecht;Gemeenten.;SGBP3;;;;;0;0;0;0;0;0;ESF1;?;mg/m2/dag;;;0;2027;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Goede rioleringspraktijkMA
;;;Goede waterbeheerpraktijk;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;;IM12;;MA;MA;;MA;;;;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;;;;0;0;0;0;0;0;ESF1;?;mg/m2/dag;;;0;2027;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Goede waterbeheerpraktijkMA
76542;NL11;GEB-yy;Beperken belasting glastuinbouw;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;in uitvoering;S05;Deze maatregel wordt genomen in waterlichaam Vaarten Westeramstel, maar heeft ook positief effect voor de Amstellandboezem. ;MW;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, Sector glastuinbouw;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;0;0;0;0;ESF1;3.86;mg/m2/dag;;;1;2021;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Beperken belasting glastuinbouwNL11_1_1
76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;in uitvoering;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts Ankeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven.;MW;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, agrarische collectieven, studieclubs, bedrijven;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;0;0;0;0;ESF1;0;mg/m2/dag;;;1;2021;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1NL11_1_1
71395;NL11;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;Vis;;SGBP1 2009-2015;2009-2015;gefaseerd;IN15;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;MW;NL11_1_1;Amstellandboezem;NL11_1_1;7;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=1324000.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;0;1;0;0;ESF5;0;nvt;0;;1;nvt;LM_20190916;Amstel;#N/B;SGBP1 2009-2015Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1NL11_1_1
76529;NL11;91103;Omleiden / scheiden waterstromen Amstellandboezem;P-belasting verlagen;uitvoering in 2020 vanwege subsidie;SGBP2 2015-2021;2020;in uitvoering;IN02;Voorheen: Aanleggen schoonwaterkering Kromme Mijdrecht. Deze maatregel wordt genomen in de Amstellandboezem, maar heeft ook positief effect voor Vaarten Zevenhoven en Tussenboezem Vinkeveen a en b. ;MW;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;ESF1;0;mg/m2/dag;;;1;2021;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Omleiden / scheiden waterstromen AmstellandboezemNL11_1_1
;;;Amoveren/ verbeteren zuivering Amstelveen;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;loopt;IM01;Verminderen belasting met nutrienten uit de RWZI.;MW;NL11_1_1;Amstellandboezem;NL11_1_1;;opzoeken;j;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;ACTIE ??: Marinka of Maarten om kosten op te geven.;;;0;0;0;0;0;0;ESF1;5;mg/m2/dag;;;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Amoveren/ verbeteren zuivering AmstelveenNL11_1_1
;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;stimuleren;BR01;Deze maatregel leidt tot 10% reductie van fosforbelasting uit polderwater. Wij zijn regionaal uit gegaan van de goede landbouwpraktijk (GLP) in 2027. Belangrijk is verder dat als gevolg van de GLP uitgaan van een grotere diepte van sloten (toename van ca 25 cm naar 40 cm). De uitworp uit een landbouwpolder neemt daardoor 10 % af, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ;MW;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;ACTIE ??: jaarlijkse kosten agrarisch waterbeheer;;;0;0;0;0;0;0;ESF1;2.62;mg/m2/dag;;NMI, 2019;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2NL11_1_1
71310;NL11;90994;Onderzoeken toepassen andere oeverbeschoeiing;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;Het uitvoeren van een onderzoek naar de mogelijkheden om die delen van de boezem, waar geen ruimte in het profiel is voor de aanleg van natuurvriendelijke oevers, toch natuurvriendelijk in te richten.;WB;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=30000.00;;;0;0;1;0;0;0;ESF4;0;nvt;;;1;2016;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken toepassen andere oeverbeschoeiingNL11_1_1
71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;uitgevoerd;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_1_1;Amstellandboezem;NL11_1_1;30;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;0;0;325;0;0;0;ESF4;0;1/0;;;1;2016;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP1 2009-2015Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1NL11_1_1
76567;NL11;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;Vis;;SGBP2 2015-2021;2015-2021;in uitvoering;IN15;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;MW;NL11_1_1;Amstellandboezem;NL11_1_1;2;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;ESF5;0;nvt;0;;1;2021;LM_20190916;Amstel;#N/B;SGBP2 2015-2021Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1NL11_1_1
76564;NL11;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;Vis;;SGBP2 2015-2021;2015-2021;uitgevoerd;IN15;;MW;NL11_1_1;Amstellandboezem;NL11_1_1;4;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;1;0;0;0;ESF5;0;nvt;0;;1;2021;LM_20190916;Amstel;#N/B;SGBP2 2015-2021Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2NL11_1_1
;;;Flexibel peilbeheer in boezemwateren;Areaal nieuw;;SGBP2 2015-2021;niet;verlies functie;IM12;;MW;NL11_1_1;Amstellandboezem;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht;NVT;;;;;;0;0;0;0;0;0;ESF4;0;km;;;1;nvt;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP2 2015-2021Flexibel peilbeheer in boezemwaterenNL11_1_1
76536;NL11;AMS-y;Meeliften om luwe zones te creëren tbv vegetatie ontwikkeling;Luwtezone aanleggen;;SGBP2 2015-2021;2015-2021;uitgevoerd;IN20;Ombekend van omvang. Schatting enkele km hooguit. Gokje: 3 km;WB;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Provincie Noord-Holland;Waterschap Amstel Gooi en Vecht;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;ESF4;121.703.854;% van beschoeid;;;1;2021;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - overig;SGBP2 2015-2021Meeliften om luwe zones te creëren tbv vegetatie ontwikkelingNL11_1_1
;;;Beperken van scheepvaart in grote kanalen;Scheepvaart reguleren;;SGBP3 2021-2027;niet;verlies functie;RO03;Scheepvaartluwe zones bieden kansen voor ecologische waterkwaliteit omdat hier minder bodemmateriaal opwerveld en golfslag de ontwikkeling van (emerse) vegetatie remt. Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;WB;NL11_1_1;Amstellandboezem;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht;?;SGBP3;;geen investering maar operationele kosten;;;0;0;0;0;0;0;ESF4;0;% van overig ongeschikt;;;0;nvt;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - overig;SGBP3 2021-2027Beperken van scheepvaart in grote kanalenNL11_1_1
;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;2021-2027;stimuleren;BR01;Geldt voor alle waterlichamen. ;MA;NL11_1_1;Amstellandboezem;NL11_1_1;;;;Waterschap Amstel Gooi en Vecht;Gemeente Amstelveen, Amsterdam, De Ronde Venen, Diemen, Nieuwkoop, Ouder-Amstel, Stichtse Vecht, Uithoorn en Woerden, Provincie Noord-Holland, Utrecht en Zuid-Holland;SGBP3;;geen investering maar operationele kosten;voor planadvies, jurist, verwerken KEUR;;0;0;0;0;0;0;ESF4;1;1/0;;;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewonersNL11_1_1
;;;Natuurvriendelijke dijkreconstructie (voldoende ondiep oppervlak, flauw talud, verbinding tussen land en water).;Beschoeiing aanpassen;"hier zijn wel diverse mogelijkheden voor bij dijkverbeteringen. Idee om eens een presentatie hierover te geven in het dijkenteamoverleg (2-wekelijks op dinsdagochtend om 8.30 a 9.00; contactpersoon Isolde Apel)";SGBP3 2021-2027;2021-2027;opstarten;IN20;Deze maatregel staat in boezemplan. De inrichting van de boezem bepaalt of deze geschikt is als leefmilieu voor flora en fauna en is daarmee van invloed op de ecologische waterkwaliteit. Ingrepen in de inrichting van de boezem kunnen er daardoor voor zorgen dat de waterkwaliteit verbetert. Anderzijds moet worden voorkomen dat ingrepen in de boezem ervoor zorgen dat de inrichting en ecologische waterkwaliteit verslechteren.;MW;NL11_1_1;Amstellandboezem;NL11_1_1;1;n;j;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;ACTIE GE: invullen door Marjolein Reerink: kosten per meter. Schatting maken mbv het dijkteam (via ACTIE GE) van aantal km dat de komende 7 jaar wordt verbeterd.;;;0;0;0;0;0;0;ESF4;10;% van beschoeid;;;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Natuurvriendelijke dijkreconstructie (voldoende ondiep oppervlak, flauw talud, verbinding tussen land en water).NL11_1_1
;;;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;2021-2027;;BR01;Een maatregel in alle waterlichamen waar dat nog relevant is;MW;NL11_1_1;Amstellandboezem;NL11_1_1;;;;Waterschap Amstel Gooi en Vecht;Groengebied Amstelland, Recreatie Midden-Nederland;SGBP3;;geen investering maar operationele kosten;;;0;0;0;0;0;0;ESF4;1;1/0;;;0;2027;GH_20191205;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2NL11_1_1
;;;Verwijderen waterkeringen;Areaal nieuw;;SGBP3 2021-2027;niet;verlies functie;IN20;Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;MW;NL11_1_1;Amstellandboezem;NL11_1_1;;;n;Waterschap Amstel Gooi en Vecht;geen;;;;;;0;0;0;0;0;0;ESF4;0;km;;;0;nvt;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Verwijderen waterkeringenNL11_1_1
;;;Het minimale debiet van de Weerdsluis en het Westriool op 4,5 m3/s (in totaal).;Draagkracht vergroten;;Niet opgenomen in SGBP;2015-2021;in uitvoering;BR01;De Vecht wordt in het zuiden ook gevoed vanuit de Weerdsluis en het Westriool (de Oude Gracht in Utrecht). In normale situaties is het (gecombineerde) debiet van deze wateren bij de Rode Brug minimaal 2,5 m3/s. Door dit debiet stroomt de zuidelijke Vecht, met daarin effluent uit de RWZI Utrecht, naar het noorden. In extreem droge tijden mag het debiet van de Weerdsluis en Westriool volgens het waterakkoord (HDSR en AGV, 2007) worden verlaagd naar 2 m3/s. In deze situatie (met een verlaagd debiet van 2 m3/s) is er te weinig water beschikbaar om het effluent van de RWZI Utrecht mee te mengen. Het gevolg hiervan is dat de concentratie effluent in de zuidelijke Vecht stijgt. Dit verdunde effluent wordt ingelaten in de polders in de directe omgeving van de Vecht, waaronder Polder Achttienhoven, het landbouwgebied van de Molenpolder en de Kleine en Grote Maarsseveenseplas. Het is gewenst om het minimale debiet van de Weerdsluis en het Westriool op 4,5 m3/s (in totaal) te houden om zo te zorgen voor voldoende menging van effluent met oppervlaktewater in de Vecht. ;WB;NL11_1_2;Vecht;NL11_1_2;1;n;?;Waterschap Amstel Gooi en Vecht;Rijkswaterstaat;vastgesteld of operationeel beheer;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;0;0;0;0;ESF1;1.398;#N/B;;NMI, 2019;0;2027;LM_20190916;Vecht;#N/B;Niet opgenomen in SGBPHet minimale debiet van de Weerdsluis en het Westriool op 4,5 m3/s (in totaal).NL11_1_2
71360;NL11;91131;Aansluiten ongerioleerde woonboten Vecht;P-belasting verlagen;;SGBP1 2009-2015;2009-2015;uitgevoerd;IM06;Het gaat om het aansluiten van alle ongerioleerde woonboten langs de Vecht;WB;NL11_1_2;Vecht;NL11_1_2;1;n;n;Gemeente Diemen, Gooise Meren, Stichtse Vecht, Utrecht, Weesp en Wijdemeren;Waterschap Amstel Gooi en Vecht;;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=6000000.00;;;0;0;1;0;0;0;ESF1;0;mg/m2/dag;;;1;2016;LM_20190916;Vecht;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Aansluiten ongerioleerde woonboten VechtNL11_1_2
71362;NL11;91133;Onderzoeken aanpassen spuiregime Muiden;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;Een onderzoek naar de mogelijkheden om het spuiregime bij Muiden aan te passen. Dit blijkt niet zinvol;WB;NL11_1_2;Vecht;NL11_1_2;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=120000.00;;;0;0;1;0;0;0;ESF1;0;nvt;;;1;2016;LM_20190916;Vecht;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken aanpassen spuiregime MuidenNL11_1_2
