O;W;locatie.EAG;jaar;W1;W2;W3;W4;W4a;W4b;W5;W5a;W5b;W5c;W6;W7;W7a;W7b;W7c;W7d;W9;O1;O2;O3;O4;O5;O6;O7;O8;doorz_diep;FLAB;KROOS;SUBMS;woeker;n_soort;n_ovsoort;DRIJF;riet;watertype;StedelijkLandelijk;ESTnaam2;ESTnaam3;estnaam;omschrijving.x;omschrijving.y;estnaamvol
O1;W4;2150-EAG-2;2015;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;M1a;Stedelijk;Sl;St;W4_O1_Sl_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_Sl_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2210-EAG-1;2018;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;2;3;0;2;0;2;0;1;0;0.525;0;0;0;0;0;3;0;4.5;M30;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2600-EAG-1;2011;0;0;0;3;0;0;1;0;0;0;0;1;2;0;0;0;0;3;0;0;0;2;1;0;0;0.5625;0.001;0.1;0.55;0.1;4;7;0;0.1;M1a;Landelijk;Sl;L;W4_O1_Sl_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_Sl_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;6000-EAG-10;2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;M1b;Stedelijk;Sl;St;W4_O1_Sl_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_Sl_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W5;6570-EAG-1;2011;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.001;0.1;60;30;10;6;30;0;M8;Landelijk;Sl;L;W5_O1_Sl_L;Het water is helder met veel verschillende, niet woekerende waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O1_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W5;8000-EAG-1;2014;1;0;0;0;0;0;6;0;1;2;1;4;2;1;0;3;0;8;0;0;0;6;0;3;0;1;0;3;50;40;5;11;10;3;M6a;Stedelijk;K;St;W5_O1_K_St;Het water is helder met veel verschillende, niet woekerende waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O1_K_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W5b;6570-EAG-1;2014;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;41;100;50;6;11;1;0;M8;Landelijk;Sl;L;W5b_O1_Sl_L;Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5b_O1_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;2120-EAG-3;2011;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0.75;0.001;0.05;20;15;1;7;12.5;0.1;M3;Stedelijk;Sl;St;W7_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;2140-EAG-6;2015;0;0;0;0;0;0;2;0;0;0;2;2;1;0;0;0;0;5;0;0;0;2;0;0;0;1;0.1;1;39;5;3;9;0.1;0;M10;Landelijk;Sl;L;W7_O1_Sl_L;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;2400-EAG-6;2015;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;3;70;50;5;1;0.1;2;M8;Stedelijk;Sl;St;W7_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;2520-EAG-2;2014;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;1;30;10;3;2;0.1;0;M8;Stedelijk;Sl;St;W7_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;2530-EAG-2;2012;0;1;0;0;0;0;5;0;0;0;1;6;2;0;1;0;0;8;0;0;0;5;0;0;0;1;1;3;70;45;4;4;2;0;M1a;Landelijk;Sl;L;W7_O1_Sl_L;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;2600-EAG-3;2011;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.001;0.1;75;20;3;5;0;0;M1a;Landelijk;Sl;L;W7_O1_Sl_L;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;6110-EAG-1;2019;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0;1;0;0;0;1;0.05;0.1;40;0.55;1;2;0.05;2.55;M1a;Stedelijk;Sl;St;W7_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7;9901-EAG-1;2012;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;65;70;1;0;15;0;NVT;Stedelijk;NA;St;W7_O1_NA_St;Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O1_NA_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;1000-EAG-2;2012;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0.666666667;0;0;0.1;0.1;1;0;0.1;0;M6b;Stedelijk;K;St;W7a_O1_K_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;1000-EAG-2;2019;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0.1;1;0.1;1;0;0.1;0;M6b;Stedelijk;K;St;W7a_O1_K_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;1020-EAG-1;2012;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0.1;0.1;1;0;0;0;M11;Stedelijk;OM;St;W7a_O1_OM_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_OM_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2000-EAG-2;2019;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;1;0;0;0;0.572463768;0;0;0.55;1.55;1;2;1.55;0.05;M6b;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2000-EAG-6;2014;0;0;0;8;0;0;1;0;0;0;0;0;19;0;0;0;1;10;1;4;1;6;0;6;0;0.725;0;0.1;0.1;1;2.5;7.5;1;10;M6b;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2120-EAG-3;2015;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;4;0;0;0;1;0;0;0;1;0;0.1;0;0.1;1;2;1;0;M3;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2120-EAG-3;2018;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;3;0;0;0;1;0;1;0;1;0;0;0.1;0.1;1;3;0.1;0.1;M3;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2130-EAG-2;2011;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0.75;0.001;46.5;1;2.5;1.5;4;3.05;0;M1a;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2140-EAG-6;2014;0;1;0;0;1;0;0;0;0;0;1;1;3;0;0;0;0;4;0;0;0;2;0;0;0;1;0;4;22.5;22.5;2;6;0.1;0;M10;Landelijk;Sl;L;W7a_O1_Sl_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2150-EAG-2;2011;0;1;0;1;0;0;0;0;0;0;0;1;2;0;1;0;0;3;0;0;0;2;0;0;0;1;0.001;0.1;6;0.1;2;3;0.1;0;M1a;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2230-EAG-2;2015;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;1;0;1;0;1;0.1;0.1;1;3;0.1;0;M1a;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2520-EAG-2;2011;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0.875;0.001;1;12.5;11.5;3.5;5;1;0;M8;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;2540-EAG-4;2016;0;0;0;0;0;0;1;1;0;0;0;2;3;0;0;0;2;4;0;0;0;3;0;1;0;1;0.05;0.1;5;2.55;1.5;3.5;0.05;2.5;M1a;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;3000-EAG-2;2014;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0;4;4;0;0;0;3;0;3;1;1;0;0;0.1;0.1;1;8;0;8;M7b;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;3000-EAG-4;2014;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;1;0;1;0;0.9;0;0.1;8.5;8.5;2;2;6.5;0.05;M7b;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;3000-EAG-4;2017;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0.85;0;4;12;12;3;0;15;0;M7b;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;4000-EAG-4;2012;0;1;0;1;0;0;0;0;0;0;0;1;7;0;0;0;0;5;0;0;0;4;0;0;0;1;0;0.1;5;3;3;9;1;6;M6a;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;4000-EAG-7;2018;1;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;4;0;0;0;1;1;0;0;1;0;3;17.5;2.55;1.5;3.5;0;0.55;M6a;Landelijk;K;L;W7a_O1_K_L;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;5000-EAG-7;2018;0;1;0;2;0;0;1;0;0;0;0;1;3;0;0;0;2;4;0;0;0;2;0;2;0;0.95;0;0;5.5;0.05;0.5;2;0;0;M6a;Stedelijk;K;St;W7a_O1_K_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_K_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;6110-EAG-1;2014;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;1;4;0;0;0;1;0;1;0;1;0;0.1;0.1;0.1;1;3.5;0;1.05;M1a;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;7000-EAG-1;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0.7;0;0.1;0.1;0.1;4;0;0;0;M3;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W7a;8020-EAG-1;2015;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;4;0;0;0;0;0;1;0;1;0;2;0.1;0;0;0;0;0;M8;Stedelijk;Sl;St;W7a_O1_Sl_St;Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
