estnaam;estnaamvol;tekening
W5_O5_Sl_St;W5_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5_O6_OM_L;W5_O6_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_OM_L
W5_O6_Sl_L;W5_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5_O6_Sl_St;W5_O6_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5_O7_Sl_L;W5_O7_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5_O7_Sl_St;W5_O7_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5_O8_Sl_L;W5_O8_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5a_O5_Sl_L;W5a_O5_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5a_O5_Sl_St;W5a_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5a_O6_Sl_L;W5a_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5b_O1_Sl_L;W5b_O1_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W5b_O5_K_L;W5b_O5_K_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_K_L
W5b_O5_OM_L;W5b_O5_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W5b_O5_Sl_L;W5b_O5_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W5b_O5_Sl_St;W5b_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5b_O6_Sl_L;W5b_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5b_O8_Sl_L;W5b_O8_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5c_O5_K_L;W5c_O5_K_L_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_K_L
W5c_O5_OM_L;W5c_O5_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W5c_O5_Sl_St;W5c_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5c_O6_Sl_L;W5c_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W6_O5_OM_L;W6_O5_OM_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W6_O5_Sl_L;W6_O5_Sl_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W6_O5_Sl_St;W6_O5_Sl_St_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W6_O6_Sl_L;W6_O6_Sl_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W6_O7_Sl_L
W6_O7_Sl_L;W6_O7_Sl_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W6_O7_Sl_St;W6_O7_Sl_St_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W7_O1_Sl_L;W7_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W7_O1_Sl_St;W7_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O5_DM_L;W7_O5_DM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O1_DM_L
W7_O5_K_L;W7_O5_K_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7_O5_OM_L;W7_O5_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7_O5_OM_St;W7_O5_OM_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7_O5_Sl_L;W7_O5_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O5_Sl_St;W7_O5_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O6_K_L;W7_O6_K_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
W7_O6_OM_L;W7_O6_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O6_OM_L
W7_O6_Sl_L;W7_O6_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W7_O6_Sl_St;W7_O6_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O7_Sl_St
W7_O7_Sl_L;W7_O7_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O7_Sl_St;W7_O7_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O8_OM_L;W7_O8_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W7_O6_OM_L
W7_O8_Sl_L;W7_O8_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W7_O8_Sl_St;W7_O8_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W7_O7_Sl_St
W7a_O1_K_L;W7a_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7a_O1_K_St;W7a_O1_K_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7a_O1_OM_St;W7a_O1_OM_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7a_O1_Sl_L;W7a_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W7a_O1_Sl_St;W7a_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7a_O2_K_L;W7a_O2_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
W7a_O5_DM_L;W7a_O5_DM_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O7_DM_L
W7a_O5_DM_St;W7a_O5_DM_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O5_DM_St
W7a_O5_K_L;W7a_O5_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7a_O5_K_St;W7a_O5_K_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7a_O5_OM_L;W7a_O5_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7a_O5_OM_St;W7a_O5_OM_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7a_O5_Sl_L;W7a_O5_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7a_O5_Sl_St;W7a_O5_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7a_O6_K_L;W7a_O6_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
W7a_O6_OM_L;W7a_O6_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O6_OM_L
W7a_O6_Sl_L;W7a_O6_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W7a_O6_Sl_St;W7a_O6_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O7_Sl_St
W7a_O7_K_L;W7a_O7_K_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7a_O7_K_St;W7a_O7_K_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7a_O7_OM_L;W7a_O7_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7a_O7_Sl_L;W7a_O7_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7a_O7_Sl_St;W7a_O7_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7a_O8_OM_L;W7a_O8_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W7_O6_OM_L
W7a_O8_Sl_L;W7a_O8_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W7a_O8_Sl_St;W7a_O8_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten in lage dichtheid_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W7_O7_Sl_St
W7b_O1_Sl_L;W7b_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W7b_O5_K_L;W7b_O5_K_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7b_O5_OM_L;W7b_O5_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7b_O5_Sl_L;W7b_O5_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W7b_O5_Sl_St;W7b_O5_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W7b_O6_Sl_L;W7b_O6_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W1_O5_Sl_L
W7b_O7_Sl_L;W7b_O7_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W7b_O7_Sl_St;W7b_O7_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W7c_O5_K_L;W7c_O5_K_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7c_O5_OM_L;W7c_O5_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7c_O5_Sl_L;W7c_O5_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W7c_O5_Sl_St;W7c_O5_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W7c_O6_K_L;W7c_O6_K_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
W7c_O6_Sl_L;W7c_O6_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W1_O5_Sl_L
W7c_O6_Sl_St;W7c_O6_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W2_O5_Sl_St
W7c_O7_Sl_L;W7c_O7_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W7c_O7_Sl_St;W7c_O7_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W7c_O8_Sl_L;W7c_O8_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten en het water is bedekt met een dichte laagkroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W1_O5_Sl_L
W7d_O1_K_L;W7d_O1_K_L_Het water is helder met weinig soorten ondergedoken waterplanten, maar met drijfbladplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7d_O1_K_St;W7d_O1_K_St_Het water is helder met weinig soorten ondergedoken waterplanten, maar met drijfbladplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7d_O2_K_L;W7d_O2_K_L_Het water is helder met weinig soorten ondergedoken waterplanten, maar met drijfbladplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
