EAG;afvoergebied;EAGnaam;P nalevering (incl zuurstof);P nalevering (zonder zuurstof); area (m2) ;Diepte_50P (m);Aandeel moeras (-);Strijklengte (m);Debiet (mm/d);inflow_year (m3/y);Extinctie (m);Sedimenttype;Helder naar troebel (mg P/m2/d);Troebel naar helder (mg P/m2/d);lake/ditch/vollenweider;mofologie;systeemgrens;P.load_year (mgP/m2/d)
3360-EAG-10;;Polder Maarsseveen-Westbroek, Maarsseveense Zodden;0.430133333;0.430133333;;1.186538462;0.08;300;19;;0.5;veen;8.88;7.79;lake;plas dras;EAG;
3360-EAG-11;;Polder Maarsseveen-Westbroek, Grote Maarsseveensche Plas;0;0.9406;623,399.00;11;;;8.7;1980387;0.5;veen;0.72151989;0.361;vollenweider;plassen;EAG;0.611391717
3360-EAG-13;;Polder Maarsseveen-Westbroek, Klein Molenpolder;-0.2203;-0.2203;;0.924604978;0.08;300;9;;0.5;veen;8.88;7.79;lake;plassen;EAG;
3360-EAG-16;;Polder Maarsseveen-Westbroek, Molenpolder Natuurreservaat;-0.15855;-0.15855;;0.979096639;0.08;300;21;;0.5;veen;8.88;7.79;lake;plas dras;EAG;
3360-EAG-17;;Polder Maarsseveen-Westbroek, Westbroekse Zodden;0.114914286;0.114914286;;0.411285714;0.09;300;19;;0.5;veen;8.48;7.32;lake;plas dras;EAG;
3360-EAG-4;Polder Maarsseveen-Westbroek, Wilgenplas;;;;;1.186538462;0.08;300;19;;0.5;veen;8.88;7.79;lake;plas dras;EAG;
3360-EAG-9;;Polder Maarsseveen-Westbroek, Kleine Maarsseveensche Plas;;;;10;;;20;;0.5;veen;0.948;0.474;vollenweider;plassen;EAG;
4210-EAG-2;;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP noord;-0.40555;-0.40555;;1.16;0.15;300;7;;0.5;veen;3.76;2.1;lake;plas dras;EAG;
4210-EAG-3;;Hollands Ankeveensche Polder, Ankeveensche Plassen HAP zuid;0.242825;0.242825;;1.23;0.02;411;10;;0.5;veen;2.06;0.39;lake;plas dras;EAG;
4210-EAG-5;;Hollands Ankeveense Polder, Ankeveense Plassen HAP oost;0.002;0.002;;1.68;0.15;300;7;;0.5;zand;5.49;2.58;lake;plas dras;EAG;
6100-EAG-1;;Noorder IJ Polder, Noorder IJplas;0;1.936833333;552,774.73;;;;1.52;307618;0.5;zand;0.578042296;0.289;vollenweider;plassen;EAG;0.475
8070-EAG-1;;Sloterbinnen en Middelveldsepolder, Sloterplas;;;920,000.00;15;;;17.77;5968274;0.5;veen;0.902792871;0.452;vollenweider;plassen;afvoergebied1;14.2
NL11_3_4;;Vinkeveenseplassen;;;;3.01;;;9.17;33920180;0.5;veen;0.730931115;0.366;vollenweider;plassen;EAG345;0.53
NL11_6_1;;Sterenzodden;;;;;;;;;;;;;;ditch;EAG9101112;
NL11_6_2;;HollandsAnkeveen;;;;1.127590521;0.15;300;7;;0.5;veen;3.76;2.1;lake;plas dras;EAG2345;
NL11_6_3;;StichtsAnkeveen;;;;1.014015152;0.08;300;22;;0.5;veen;5.81;4.35;lake;plas dras;EAG21;
