koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;type;Type 2;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;ToelichtingUitgebreid;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Partij;Initiatiefnemer.waternet;EUFonds.code;Kosten;financieringsbron;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen (deels GtH);gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kostencategorie;afweging;Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;Totale belasting P;betreffend areaal (km of ha);OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast;xxxxx;punten bij invoeren Wkp;oplossing
450;76507;NL11;NL11_2_2;Vaarten Vechtstreek;90886;Aanleggen natuurvriendelijke oevers;Oever aanpassen;;SGBP2 2015-2021;2015-2021;Of geheel faseren of 1.2 km aanleggen in samenwerking met gemeente Muiden bij de vesting. Oevers worden vooral aangelegd voor andere doelen dan KRW: beleving in stedelijk gebied of recreatie. De vesting is wel een van de meest kansrijke stukken omdat het water hier helderder is vanwege de korte verblijftijd en grote fractie IJmeerwater.;Of geheel faseren of 1.2 km aanleggen in samenwerking met gemeente Muiden bij de vesting. Oevers worden vooral aangelegd voor andere doelen dan KRW: beleving in stedelijk gebied of recreatie. De vesting is wel een van de meest kansrijke stukken omdat het water hier helderder is vanwege de korte verblijftijd en grote fractie IJmeerwater.;IN07;WB;;1.2;km;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM6;;Macrofauna_Overige Waterflora_Vis;1.3;0;0;1.8;0;0;;;;Beschoeiing aanpassen;;?;;gefaseerd;;;;ESF4;;169;1.2;km oever;;1;2021;NL11_2_2;LM_20190916;;;
144;76508;NL11;NL11_2_7;Vaarten Groot Mijdrecht;90912;Aanleg natuurvriendelijke oevers Marickenland;Morfologie aanpassen;;SGBP2 2015-2021;2015-2021;Zijn dit moerasblokken geworden of NVO's?;Zijn dit moerasblokken geworden of NVO's?;IN18;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM6;;Macrofauna_Overige Waterflora_Vis;0;0;0;1;0;0;;;;Areaal nieuw;;?;;gefaseerd;;;;ESF4;;96.2;10;ha,submers areaal;;1;2021;NL11_2_7;LM_20190916;;;
661;;NL11;NL11_6_1;Ster en Zodden;90922;Instellen van het polderdoorstroomprincipe, waterbeheer- en inrichtingsmaatregelen;Kwel herstellen;Kwel herstellen;SGBP3 2021-2027;2021-2027;Dit is een gefaseerde maatregel uit SGBP-II. Omleiden waterstromen om macroionen vast te houden in het gebied. Aanscherping van de stromingsroute in het Weerslootgebied is nodig, zodat kwelwater ook door (nieuw gegraven) petgaten stroomt. Deze maatregel hangt samen met het aanleggen van een fosfaatfilter.;Omleiden waterstromen om macroionen vast te houden in het gebied. Aanscherping stromingsroute weerslootgebied tov het projectplan dat er ligt zodat kwelwater ook door (nieuw gegraven) petgaten stroomt.;IN02;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;krediet SGBP-2;NL_HAB_95;;KTM7 ;;Macrofauna_Overige Waterflora;2;0;0;0;0;0;;;;Kwel herstellen;;Natuurmonumenten;sgbp2;bestuurlijk vastgesteld;SGBP2;;;ESF4;;128;9.1;ha, submers areaal;;1;2027;NL11_6_1;LM_20190916;;omvang: 1 van gemaakt (ipv 2);"klopt: Vuntus uitgevoerd; Weersloot moet nog"
73;76509;NL11;NL11_6_1;Ster en Zodden;90922;Instellen polderdoorstroomprincipe, waterbeheer- en inrichtingsmaatregelen;Kwel herstellen;;SGBP2 2015-2021;2015-2021;Omleiden waterstromen om macroionen vast te houden in het gebied. Aanscherping stromingsroute weerslootgebied tov het projectplan dat er ligt zodat kwelwater ook door (nieuw gegraven) petgaten stroomt.;Omleiden waterstromen om macroionen vast te houden in het gebied. Aanscherping stromingsroute weerslootgebied tov het projectplan dat er ligt zodat kwelwater ook door (nieuw gegraven) petgaten stroomt.;IN02;WB;;2;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;NL_VOG_95;;KTM7;;Macrofauna_Overige Waterflora;0;0;0;2;0;0;;;;Kwel herstellen;;Natuurmonumenten;;gefaseerd;;;;ESF4;;128;9.1;ha, submers areaal;;1;nvt;NL11_6_1;LM_20190916;;;
193;76510;NL11;NL11_7_2;Noorder IJplas;90988;Uitvoeren inrichtingsplan Noorder IJplas, fase 1 - effect 1;Oever aanpassen;;SGBP2 2015-2021;2015-2021;Het aanleggen van natuurvriendelijke oevers langs de Noorder IJplas conform het inrichtingsplan NIJP.;Het aanleggen van natuurvriendelijke oevers langs de Noorder IJplas conform het inrichtingsplan NIJP.;IN08;WB;;2.8;km;j;;Gemeente;Gemeente;Gemeente Amsterdam;;0;0;;;KTM6;;Macrofauna_Overige Waterflora_Vis;2;0;0.5;0;0;0;;;;Oeverstructuur verbeteren;;Waterschap Amstel Gooi en Vecht;;in uitvoering;;;;ESF4;;7.9;2.8;km oever;;1;2021;NL11_7_2;LM_20190916;;;
234;76511;NL11;NL11_7_2;Noorder IJplas;90989;Uitvoeren inrichtingsplan Noorder IJplas, fase 1 - effect 2;Morfologie aanpassen;;SGBP2 2015-2021;2015-2021;Het verondiepen van een deel van de Noorder IJplas als uitvoering van het Inrichtingsplan NIJP. De verondieping moet de ontwikkeling van oever- en waterplanten mogelijk maken.De maatregel is een voortzetting van de maatregel uit de SGBP 1-planperiode. De wens voor voldoende ondiep oppervlak blijft bestaan, maar dan wel met materiaal dat niet nalevert en niet organisch belast wordt.;Het verondiepen van een deel van de Noorder IJplas als uitvoering van het Inrichtingsplan NIJP. De verondieping moet de ontwikkeling van oever- en waterplanten mogelijk maken.De maatregel is een voortzetting van de maatregel uit de SGBP 1-planperiode. De wens voor voldoende ondiep oppervlak blijft bestaan, maar dan wel met materiaal dat niet nalevert en niet organisch belast wordt.;IN13;WB;;10;ha;j;;Gemeente;uitgevoerd;Gemeente Amsterdam;;0;0;;;KTM6;;Macrofauna_Overige Waterflora_Vis_Fytoplankton;0;0;10;0;0;0;;;;Verondiepen;;Waterschap Amstel Gooi en Vecht;;uitgevoerd;;;;ESF2;;51.3;10.3;ha, totaal opp.;;1;2021;NL11_7_2;LM_20190916;;;
284;71380;NL11;NL11_5_6;Kievitsbuurt;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden en op diepte brengen;;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;km;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;geen;;uitgevoerd;;;;ESF4;;;0;km watergang;;1;2016;NL11_5_1;LM_20190916;;;
289;71388;NL11;NL11_5_6;Kievitsbuurt;NL11_0181;Uitvoeren herstelmaatregelen Loosdrechtse plassen, peilbeheer;Waterstromen aanpassen;;SGBP1 2009-2015;2009-2015;Het gaat om het uitvoeren van de waterbeheermaatregelen om een flexibel peil tussen -1,05 en -1,2 m NAP in te stellen binnen een gebied van 1470 ha;Het gaat om het uitvoeren van de waterbeheermaatregelen om een flexibel peil tussen -1,05 en -1,2 m NAP in te stellen binnen een gebied van 1470 ha;IN14;WB;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;geen ;;uitgevoerd;;;;ESF1;0.566321871;;0;mg/m2/dag;;1;2016;NL11_5_1;LM_20190916;;;
294;71390;NL11;NL11_5_6;Kievitsbuurt;NL11_0183;Uitvoeren herstelmaatregelen Loosdrechtse plassen, wateraan- en afvoer;Waterstromen aanpassen;;SGBP1 2009-2015;2009-2015;Het gaat om het uitvoeren van de volgende waterbeheermaatregelen:- Het saneren van bestaande sluislekken bij de Weer- en Kraainestersluis- Het terugpompen van schutwater bij de Weer, Kraainester- en Mijdense sluis- Het onderzoeken van de mogelijkheden om de wateraan- en afvoer van Molenpolder/Westbroek via Breukeleveense plas te verbeteren;Het gaat om het uitvoeren van de volgende waterbeheermaatregelen:- Het saneren van bestaande sluislekken bij de Weer- en Kraainestersluis- Het terugpompen van schutwater bij de Weer, Kraainester- en Mijdense sluis- Het onderzoeken van de mogelijkheden om de wateraan- en afvoer van Molenpolder/Westbroek via Breukeleveense plas te verbeteren;IN02;WB;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;geen;;uitgevoerd;;;;ESF1;0.566321871;;0;mg/m2/dag;;1;2016;NL11_5_1;LM_20190916;;;
392;76512;NL11;NL11_2_1;Vaarten Amsterdam;90996;Aansluiten ongerioleerde woonboten;Rioolsystemen aanpassen;;SGBP2 2015-2021;2015-2021;Het gaat om het aansluiten van ongeveer 2300 ongerioleerde woonboten in de watergangen binnen de gemeente Amsterdam. Het gaat om de afronding van de maatregel uit de SGBP 1-periode.;Het gaat om het aansluiten van ongeveer 2300 ongerioleerde woonboten in de watergangen binnen de gemeente Amsterdam. Het gaat om de afronding van de maatregel uit de SGBP 1-periode.;IM06;WB;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM21;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;Gemeente Amsterdam;;uitgevoerd;;;;ESF1;14.12754631;;0;mg/m2/dag;;1;2016;NL11_2_1;LM_20190916;;;
182;76513;NL11;NL11_3_3;Ouderkerkerplas;90999;Uitvoeren herstelmaatregelen Ouderkerkerplas;Waterstromen aanpassen;;SGBP2 2015-2021;2015-2021;Het gaat om het verder uitvoeren van de waterbeheermaatregelen (peilbeheer) om de inlaat naar de plas te optimaliseren en daarmee de belasting te verminderen. Het is de voortzetting van de maatregel uit de planperiode van SGBP-1.;Het gaat om het verder uitvoeren van de waterbeheermaatregelen (peilbeheer) om de inlaat naar de plas te optimaliseren en daarmee de belasting te verminderen. Het is de voortzetting van de maatregel uit de planperiode van SGBP-1.;IN14;WB;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;Gemeente Amsterdam, Groengebied Amstelland;;uitgevoerd;;;;ESF1;0.52;;0;mg/m2/dag;;1;2020;NL11_3_3;LM_20190916;;;
668;;NL11;NL11_3_1;Sloterplas;91003;Herstel natuurvriendelijke oevers volgens inrichtingsplan Sloterplas;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Dit is een gefaseerde maatregel uit SGBP-II. De oevers, ook die van het moerasgebied, zijn zwaar overgroeid door bomen. Het plan is om het rietland weer te herstellen.;Dit is een oude maatregel, die nooit is ingetrokken en geldt als bestaand plan. De oevers, ook die van het moerasgebied, zijn zwaar overgroeid door bomen. Het plan is om het rietland weer te herstellen.;IN08;WB;;1;km;j;;Gemeente;Gemeente;Gemeente Amsterdam;;0;0;;;KTM6 ;;Macrofauna_Overige Waterflora_Vis;1;0;0;0;0;0;;;;Open landschap herstellen;;Waterschap Amstel Gooi en Vecht;geen;faseren tot andere maatregelen zijn uitgevoerd;;;;ESF2, ESF4;;9.1;3.7;km oever;;1;2027;NL11_3_1;LM_20190916;;;
314;76514;NL11;NL11_3_1;Sloterplas;91003;Herstel natuurvriendelijke oevers volgens inrichtingsplan Sloterplas;Natuurvriendelijk onderhouden en op diepte brengen;;SGBP2 2015-2021;2015-2021;Dit is een oude maatregel, nooit ingetrokken (?) en geldt als bestaand plan. De oevers, ook die van het moerasgebied, zijn zwaar overgroeid door bomen. Het plan was om het rietland weer te herstellen.;Dit is een oude maatregel, nooit ingetrokken (?) en geldt als bestaand plan. De oevers, ook die van het moerasgebied, zijn zwaar overgroeid door bomen. Het plan was om het rietland weer te herstellen.;IN08;WB;;3.7;km;j;;Gemeente;Gemeente;Gemeente Amsterdam;;0;0;;;KTM6;;Macrofauna_Overige Waterflora_Vis;0;0;0;1;0;0;;;;Open landschap herstellen;zit er dubbel in, want gefaseerd;Waterschap Amstel Gooi en Vecht;;gefaseerd;;;;ESF2, ESF4;;9.1;3.7;km oever;;1;nvt;NL11_3_1;LM_20190916;;;
667;;NL11;NL11_3_1;Sloterplas;91006;Sloterplas isoleren van externe belasting;Waterstromen aanpassen;Sloterplas;SGBP3 2021-2027;2021-2027;Dit is een gefaseerde maatregel uit SGBP-II en onderdeel van het P-maatregelenpakket voor de Sloterplas, dat in overleg met de gemeente Amsterdam wordt uitgewerkt. Deze maatregel is alleen zinvol als de andere onderdelen van het maatregelenpakket ook worden uitgevoerd. Dit onderdeel gaat om het aanleggen van meerdere doorvaarbare stuwen en sluizen. Aan te voeren water moet worden gedefosfateerd.;Onderdeel P-pakket. Aanleg van een set stuwen en sluizen. Voor de aanvoer wordt een defosfateriing gebouwd ;IN02;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;1,736,000;later besluit;;;KTM7 ;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;1;0;0;0;0;0;;;;P-belasting verlagen;;Gemeente Amsterdam;type 4;afweging verlies functie: bestuurlijke keuze;;;;ESF1;23.7;;21.5;mg/m2/dag;;1;2027;NL11_3_1;LM_20190916;;;
185;76515;NL11;NL11_3_1;Sloterplas;91006;Isoleren Sloterplas van externe belasting;Waterstromen aanpassen;;SGBP2 2015-2021;2015-2021;gefaseerd naar 667;gefaseerd naar 667;IN02;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;Gemeente Amsterdam;;gefaseerd;;;;ESF1;23.7;;21.5;mg/m2/dag;;1;2021;NL11_3_1;LM_20190916;;;
248;76516;NL11;NL11_3_7;Wijde Blik;91008;Uitvoeren beheermaatregelen oevers Wijde Blik;Oever aanpassen;;SGBP2 2015-2021;2015-2021;Een deel van de oever aan de noordzijde moest worden hersteld;Een deel van de oever aan de noordzijde moest worden hersteld;BE06;WB;;1;km;j;;Geen overheid;uitgevoerd;Natuurmonumenten;;0;0;NL_HAB_95|NL_VOG_95;;KTMNL02;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Oeverstructuur verbeteren;;;;uitgevoerd;;;;ESF4;;54.3;2.7;km oever;;1;2021;NL11_3_7;LM_20190916;;;
41;76517;NL11;NL11_1_2;Vecht;91009;Aanpassen RWZI Horstermeer (kwaliteit effluent verdergaand verbeteren na evaluatie);RWZI aanpassen;;SGBP2 2015-2021;2015-2021;Deze maatregel is uitgevoerd. De kwaliteit van het effluent is nu zo goed als mogelijk.;Deze maatregel is uitgevoerd. De kwaliteit van het effluent is nu zo goed als mogelijk.;IM01;MW;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;NL_HAB_95|NL_VOG_95;;KTM1;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;Reductie toepassen op RWZI Horstermeer (afvangen zout???);P-belasting verlagen;;geen;;uitgevoerd;;;;ESF1;64.23;;0;mg/m2/dag;;1;2016;NL11_1_2;LM_20190916;;;
243;76517;NL11;NL11_3_7;Wijde Blik;91009;Aanpassen RWZI Horstermeer (kwaliteit effluent verdergaand verbeteren na evaluatie);RWZI aanpassen;;SGBP2 2015-2021;2015-2021;Deze maatregel is uitgevoerd. De kwaliteit van het effluent is nu zo goed als mogelijk.;Deze maatregel is uitgevoerd. De kwaliteit van het effluent is nu zo goed als mogelijk.;IM01;MW;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;NL_HAB_95|NL_VOG_95;;KTM1;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;geen;;uitgevoerd;;;;ESF1;0.489439062;;0;mg/m2/dag;;1;2016;NL11_3_7;LM_20190916;;;
453;76517;NL11;NL11_6_7;Wijde Gat;91009;Aanpassen RWZI Horstermeer (kwaliteit effluent verdergaand verbeteren na evaluatie);RWZI aanpassen;;SGBP2 2015-2021;2015-2021;Deze maatregel is uitgevoerd. De kwaliteit van het effluent is nu zo goed als mogelijk.;Deze maatregel is uitgevoerd. De kwaliteit van het effluent is nu zo goed als mogelijk.;IM01;MW;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;NL_HAB_95|NL_VOG_95;;KTM1;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;geen;;uitgevoerd;;;;ESF1;1.81453377;;0;mg/m2/dag;;1;2016;NL11_6_4;LM_20190916;;;
139;71335;NL11;NL11_5_3;Loenderveen Oost;91069;Uitvoeren herstelmaatregelen Loenderveen Oost, fase 0 - effect 2;Oever aanpassen;;SGBP1 2009-2015;2009-2015;Het gaat om de aanleg van vooroevers om zo een natuurlijke oevervegetatie (riet) tot ontwikkeling te laten komenDe maatregel vormt één pakket met de andere drie maatregelen van fase 0 in dit gebied.;Het gaat om de aanleg van vooroevers om zo een natuurlijke oevervegetatie (riet) tot ontwikkeling te laten komenDe maatregel vormt één pakket met de andere drie maatregelen van fase 0 in dit gebied.;IN13;WB;;0.3;ha;n;;Gemeente;uitgevoerd;Gemeente Amsterdam;;0;0;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0.3;0;0;0;;;;Oeverstructuur verbeteren;;;;uitgevoerd;;;;ESF4;;;0;km oever;;1;2016;NL11_5_3;LM_20190916;;;
142;71299;NL11;NL11_5_3;Loenderveen Oost;90170;Uitvoeren herstelmaatregelen Loenderveen-Oost, fase 2 - effect 2;Oever aanpassen;;SGBP1 2009-2015;2009-2015;Het gaat om het aanvullend aanleggen van extra hectares vooroevers om zo een natuurlijke oevervegetatie (riet) tot ontwikkeling te laten komen.De maatregel is een voortzetting van de maatregel die al in de periode 2007-2009 is uitgevoerd. ;Het gaat om het aanvullend aanleggen van extra hectares vooroevers om zo een natuurlijke oevervegetatie (riet) tot ontwikkeling te laten komen.De maatregel is een voortzetting van de maatregel die al in de periode 2007-2009 is uitgevoerd. ;IN13;WB;;0.1;ha;j;;Gemeente;uitgevoerd;Gemeente Amsterdam;;0;0;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0.1;0;0;0;;;;Oeverstructuur verbeteren;;;;uitgevoerd;;;;ESF4;;;0;km oever;;1;2016;NL11_5_3;LM_20190916;;;
231;;NL11;NL11_5_3;Loenderveen Oost;;Baggeren van slibafzettingen;Voedselrijke waterbodem aanpakken;;Niet opnemen in SGBP3;niet;Er liggen slibdepots met eutrofe bagger uit de voedselrijke periode van Loederveen, hier kan submerse vegetatie moeilijk vestigen.;Er liggen slibdepots met eutrofe bagger uit de voedselrijke periode van Loederveen, hier kan submerse vegetatie moeilijk vestigen.;IM12;WB;;1;n;j;;Geen;Niet uitvoeren;Geen;;0;0;NL_HAB_95;;KTMNL01;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Baggeren;;Waterschap Amstel Gooi en Vecht;;niet uitvoeren: niet effectief;SGBP3;;;ESF1;;;0;ha, totaal opp.;paleobotanisch onderzoek;0;nvt;NL11_5_3;LM_20190916;;;
466;76518;NL11;NL11_6_7;Wijde Gat;91015;Herstelmaatregelen Kortenhoefse plassen fase 2, effect 1;Voedselrijke waterbodem aanpakken;;SGBP2 2015-2021;niet;Het baggeren van 37 ha petgaten in het plassengebied. Dit is niet uitgevoerd en staat niet meer op de planning voor SGBP2. Er wordt getwijfeld over nut en noodzaak (de waterbodem levert geen fosfor na en het is onduidelijk of de voedingstoffen in de waterbodem een risico zijn voor woekerende planten) en het is lastig uitvoerbaar gezien er geen geschikte locaties zijn voor een baggerdepot en geen middelen om de bagger verder af te voeren.;Het baggeren van 37 ha petgaten in het plassengebied. Dit is niet uitgevoerd en staat niet meer op de planning voor SGBP2. Er wordt getwijfeld over nut en noodzaak (de waterbodem levert geen fosfor na en het is onduidelijk of de voedingstoffen in de waterbodem een risico zijn voor woekerende planten) en het is lastig uitvoerbaar gezien er geen geschikte locaties zijn voor een baggerdepot en geen middelen om de bagger verder af te voeren.;BE04;WB;;0;m3;j;;Geen overheid;Natuur Beherende Organisatie;Natuurmonumenten;;0;0;NL_HAB_95|NL_VOG_95;;KTM4;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;37;0;0;;;;Baggeren;;Waterschap Amstel Gooi en Vecht;;gefaseerd;;;;ESF3;;;0;ha, totaal opp.;;1;nvt;NL11_6_4;LM_20190916;;;
470;76519;NL11;NL11_6_7;Wijde Gat;91017;Uitvoeren herstel- en inrichtingsmaatregelen Kortenhoefse plassen, fase 1 - effect 1;Natuurvriendelijk onderhouden en op diepte brengen;;SGBP2 2015-2021;2015-2021;De maatregel betreft het verwijderen van boom- en groenopslag langs watergangen in het legakkergebied van het centrale deel van de plas en rondom de petgaten. De maatregel wordt door Natuurmonumenten in het kader haar LIFE-subsidiecontract met de EU uitgevoerd, als onderdeel van maatregelpakket C.10De uitvoering van de maatregel loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018. Deze maatregel heeft ook effect op ESF1 en ESF7.;De maatregel betreft het verwijderen van boom- en groenopslag langs watergangen in het legakkergebied van het centrale deel van de plas en rondom de petgaten. De maatregel wordt door Natuurmonumenten in het kader haar LIFE-subsidiecontract met de EU uitgevoerd, als onderdeel van maatregelpakket C.10De uitvoering van de maatregel loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018. Deze maatregel heeft ook effect op ESF1 en ESF7.;BE02;WB;;21.03;km;j;;Geen overheid;uitgevoerd;Natuurmonumenten;;0;0;NL_VOG_95;;KTMNL02;;Macrofauna_Overige Waterflora_Vis;0;0;21.03;0;0;0;;;;Open landschap herstellen;;;;uitgevoerd;;;;ESF2, ESF1, ESF7;;104;21;km oever;;1;2021;NL11_6_4;LM_20190916;;;
240;;NL11;NL11_5_3;Loenderveen Oost;;Beperken externe fosfaatbelasting Bethune overschot;Defosfateren;;Niet opgenomen in SGBP;2019;Het water uit de Bethunepolder wordt via de defosfatering van de Waterleidingplas naar Loenderveen en Loosdrecht gebracht. Hiermee wordt de  verblijftijd van het water in de plas verkort en de draagkracht vergroot. Daarnaast worden er meer macroionen, zoals calcium en bicarbonaat, naar de Loenderveense plas getransporteerd.;Het water uit de Bethunepolder wordt via de defosfatering van de Waterleidingplas naar Loenderveen en Loosdrecht gebracht. Hiermee wordt de  verblijftijd van het water in de plas verkort en de draagkracht vergroot. Daarnaast worden er meer macroionen, zoals calcium en bicarbonaat, naar de Loenderveense plas getransporteerd.;IN03;MW;;1;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM7 ;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;Gemeente Amsterdam;;uitgevoerd;onderdeel gebiedsakkoord Vechtplassen;;;ESF1;0.05967482;;0;mg/m2/dag;;0;2027;NL11_5_3;LM_20190916;;;
390;76520;NL11;NL11_6_1;Ster en Zodden;91055;Instellen polderdoorstroomprincipe, beheer- en inrichtingsmaatregelen;Natuurvriendelijk onderhouden en op diepte brengen;;SGBP2 2015-2021;2015-2021;Het betreft alle beheer- en inrichtingsmaatregelen die de terreinbeheerder in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoeren. Deelgebieden zijn: Vuntus, Ster, Weerslootgebied en KerkelandenVoorbeelden van maatregelen zijn: (C11)- Uitgraven petgaten- Verwijderen boom- en groenopslag- PlaggenDe uitvoering van de maatregelen gaat gebeuren in het kader van het LIFE-subsidiecontract met de EU.De uitvoering van de maatregelen loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018;Het betreft alle beheer- en inrichtingsmaatregelen die de terreinbeheerder in het kader van gebiedsafspraken met gebiedsactoren in het gebied van Ster en Zodden gaat uitvoeren. Deelgebieden zijn: Vuntus, Ster, Weerslootgebied en KerkelandenVoorbeelden van maatregelen zijn: (C11)- Uitgraven petgaten- Verwijderen boom- en groenopslag- PlaggenDe uitvoering van de maatregelen gaat gebeuren in het kader van het LIFE-subsidiecontract met de EU.De uitvoering van de maatregelen loopt overeenkomstig de duur van het subsidiecontract van 2013 tot en met 2018;IN20;WB;;1;n;j;;Geen overheid;uitgevoerd;Natuurmonumenten;;0;0;NL_VOG_95;;KTMNL02;;;0;0;1;0;0;0;;;;Open landschap herstellen;;;;uitgevoerd;;;;ESF1;;337.7;30.4;km oever;;1;2016;NL11_6_1;LM_20190916;;;
357;71340;NL11;NL11_5_3;Loenderveen Oost;91075;Beperken juveniele ganzen door eieren rapen;Faunabeheer;;SGBP1 2009-2015;2009-2015;Het betreft het rapen van eieren om de graas door ganzen en daarmee de belasting van het milieu in het gebied te beperken.;Het betreft het rapen van eieren om de graas door ganzen en daarmee de belasting van het milieu in het gebied te beperken.;BE08;MW;;1;n;n;;Gemeente;uitgevoerd;Gemeente Amsterdam;;0;0;NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Ganzen beheren;;;;uitgevoerd;;;;ESF6;;;0;nvt;;1;2016;NL11_5_3;LM_20190916;;;
358;71380;NL11;NL11_5_3;Loenderveen Oost;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden en op diepte brengen;;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;km;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;geen;;uitgevoerd;;;;ESF4;;;0;km watergang;;1;2016;NL11_5_3;LM_20190916;;;
