OWMNAAM;OWL;OWMNAAM_SGBP3;OWL_SGBP3;Watertypen;GebiedType;ESF1;ESF2;ESF3;ESF4;ESF5;ESF6;ESF7;ESF8;Karakterschets;Doelen;Toestand;Trend;TrendChemie;Oorzaken;Maatregelen;MonitoringAnalyseWensen;ESF1;ESF2;ESF3;ESF4;ESF5;ESF6;ESF7;ESF8;MotiveringBegrenzing;Gemeenten;Provincies;Eigenaren;Status;Literatuurverwijzing;Gebiedspartners;aangepast;Opmerking;StatusFS
;;Hoogwaterzone Amstelkade P1, Hoogwaterzone Amstelkade P1;2511;M10;Landelijk;2;1;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor brede sloten met een veenbodem (M10), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;Matig. Algemene ondergedoken waterplanten, maar ook veel flab.;In 2511-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.2 ekr per planperiode tussen 2006 en 2019). Deze trend is gebaseerd op twee meetjaren.;;;"Doorgaan met het beleid om zo min mogelijk gebiedsvreemd water in te laten (tegengaan doorspoelen, doorvoeren en controleren op lekken).
- Doorgaan met stimuleren van ecologisch slootschonen en mestvrije zones in secundaire watergangen. Dit kan via het agrarische collectief en de contacten die er zijn in de lopende gebiedsprojecten (convenant inrichtingsprojecten, proefpolder Gagelpolder, etc). Ecologisch schonen als voorwaarde opnemen in de keur van AGV kan een middel zijn om alle sloten ecologisch te onderhouden.
- Het ecologisch gewenste schoningsbeheer in de primaire watergangen opnemen in de nota natuurvriendelijk onderhoud. Vervolgens zijn ook goede afspraken nodig met de uitvoerders en het schouwteam. Het uitgangspunt is de ecologie zo min mogelijk te verstoren. Dit betekent alleen schonen als dit noodzakelijk is voor de waterafvoer en/of om sterke verlanding tegen te gaan. Het betekent ook het juiste materiaal gebruiken en werken in ‘mozaïekvorm’.
- Doorgaan met stimuleren van het op diepte brengen en houden van de sloten in het hele plangebied. De aanbevelingen uit de Regeling waterkwaliteitsbaggeren in het convenantgebied dienen daarin gevolgd te worden: # Aanpassen van de vereiste minimale waterdiepte in de Keur. Voor een goede waterkwaliteit en flora en fauna is een grotere diepte dan 35 cm nodig.
# Opstellen van een legger voor secundaire wateren omdat niet overal dezelfde diepte haalbaar is. # Diepte meenemen in de schouw nadat keur en legger aangepast zijn. NB. Aanpassing van de Keur, opstellen van een legger voor secundaire wateren en het besluit tot diepteschouw zijn aparte processen en maken geen deel uit van dit watergebiedsplan.
- De partijen (waaronder de agrariërs) regelmatig informeren over de effecten en betrekken bij uitwerking en uitvoering van acties die eventueel nog nodig zijn om het beoogde resultaat te halen.
- Opzetten en uitvoeren van een onderzoeksprogramma met veldexperimenten en monitoring om te achterhalen welke aanvullende maatregelen nodig zijn om het ecosysteem verder de goed kant op te sturen.";;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 5.4 en 5.5 mg/m2/dag. De kritische fosforbelasting is 14.4. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. Doorzicht is 50-60 cm.;;Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.5). De mediane dikte van het slib is 0.125. ;;;;;;De Ronde Venen;Utrecht;;;gebiedsbrede dataanalyse;;LM_20201127;;WIP_WSIgebiedsbreed
;;Hoogwaterzone Amstelkade P2, Hoogwaterzone Amstelkade P2;2512;M8;Landelijk;2;1;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een veenbodem (M8), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;Matig. Algemene ondergedoken waterplanten, maar ook veel flab.;In 2511-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.2 ekr per planperiode tussen 2006 en 2019). Deze trend is gebaseerd op twee meetjaren.;;;"Doorgaan met het beleid om zo min mogelijk gebiedsvreemd water in te laten (tegengaan doorspoelen, doorvoeren en controleren op lekken).
- Doorgaan met stimuleren van ecologisch slootschonen en mestvrije zones in secundaire watergangen. Dit kan via het agrarische collectief en de contacten die er zijn in de lopende gebiedsprojecten (convenant inrichtingsprojecten, proefpolder Gagelpolder, etc). Ecologisch schonen als voorwaarde opnemen in de keur van AGV kan een middel zijn om alle sloten ecologisch te onderhouden.
- Het ecologisch gewenste schoningsbeheer in de primaire watergangen opnemen in de nota natuurvriendelijk onderhoud. Vervolgens zijn ook goede afspraken nodig met de uitvoerders en het schouwteam. Het uitgangspunt is de ecologie zo min mogelijk te verstoren. Dit betekent alleen schonen als dit noodzakelijk is voor de waterafvoer en/of om sterke verlanding tegen te gaan. Het betekent ook het juiste materiaal gebruiken en werken in ‘mozaïekvorm’.
- Doorgaan met stimuleren van het op diepte brengen en houden van de sloten in het hele plangebied. De aanbevelingen uit de Regeling waterkwaliteitsbaggeren in het convenantgebied dienen daarin gevolgd te worden: # Aanpassen van de vereiste minimale waterdiepte in de Keur. Voor een goede waterkwaliteit en flora en fauna is een grotere diepte dan 35 cm nodig.
# Opstellen van een legger voor secundaire wateren omdat niet overal dezelfde diepte haalbaar is. # Diepte meenemen in de schouw nadat keur en legger aangepast zijn. NB. Aanpassing van de Keur, opstellen van een legger voor secundaire wateren en het besluit tot diepteschouw zijn aparte processen en maken geen deel uit van dit watergebiedsplan.
- De partijen (waaronder de agrariërs) regelmatig informeren over de effecten en betrekken bij uitwerking en uitvoering van acties die eventueel nog nodig zijn om het beoogde resultaat te halen.
- Opzetten en uitvoeren van een onderzoeksprogramma met veldexperimenten en monitoring om te achterhalen welke aanvullende maatregelen nodig zijn om het ecosysteem verder de goed kant op te sturen.";;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 5.4 en 5.5 mg/m2/dag. De kritische fosforbelasting is 14.4. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. Doorzicht is 50-60 cm.;;Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.5). De mediane dikte van het slib is 0. ;;;;;;Nieuwkoop;Zuid-Holland;;;gebiedsbrede dataanalyse;;?;;WIP_WSIgebiedsbreed
;;Polder de Eerste Bedijking (west), west;2530;M1a;Landelijk;0;1;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een minerale bodem (M1a), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2530-EAG-2: De gemiddelde bedekking met waterplanten is redelijk (35). De bedekking met kroos (1) is laag. Er is weinig FLAB.;In 2530-EAG-1: De score op de maatlat Waterflora vertoont geen trend. In 2530-EAG-2: De score op de maatlat Waterflora vertoont een negatieve trend (-0.16 ekr per planperiode tussen 2006 en 2019).;;;;;;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;In 2530-EAG-1: Habitatgeschiktheid vormt lokaal een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is (0.35). De mediane dikte van het slib is 0.05.  In 2530-EAG-2: Habitatgeschiktheid vormt lokaal een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is (0.35). De mediane dikte van het slib is 0.1. ;;;;;;De Ronde Venen;Utrecht;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Noorderpolder of Botshol (Nellestein), agrarisch;2560;M1a;Landelijk;2;1;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een minerale bodem (M1a), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2560-EAG-2: De gemiddelde bedekking met waterplanten is redelijk (). De bedekking met kroos () is hoog. Er is weinig FLAB.;In 2560-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.06 ekr per planperiode tussen 2006 en 2019). In 2560-EAG-2: De score op de maatlat Waterflora vertoont een negatieve trend (-0.14 ekr per planperiode tussen 2006 en 2019).;;;;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 11.2 en 23.2 mg/m2/dag. De kritische fosforbelasting is 14.5. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;In 2560-EAG-1: Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.45). De mediane dikte van het slib is 0.05.  In 2560-EAG-2: Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.6). De mediane dikte van het slib is 0.075. ;;;;;;De Ronde Venen;Utrecht;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Baambrugge Westzijds, polder;2570;M8;Landelijk;2;1;0;2;0;0;0;0;Het plangebied (ca. 621,5 hectare) bestaat uit het af- en aanvoergebied van Polder Baambrugge Westzijds (PBW). Het af- en aanvoergebied van Polder Baambrugge Westzijds wordt begrensd door de Vinkeveense Plassen in het westen, de rivier de Angstel in het oosten, de Geuzensloot in het zuiden en het riviertje de Winkel in het noorden. Het westelijke deel van de stedelijke kern Baambrugge valt binnen het plangebied. Het plangebied ligt in de provincie Utrecht en behoort tot de gemeenten De Ronde Venen en Stichtse Vecht.;;Redelijk rijk aan nutriënten. Vegetatie slecht tot goed.;In 2570-EAG-1: De score op de maatlat Waterflora vertoont geen trend. In 2570-EAG-2: De score op de maatlat Waterflora vertoont een negatieve trend (-0.47 ekr per planperiode tussen 2006 en 2019).;;Afbraakprocessen in de veenbodem en agrarisch landgebruik.;Streven naar verdieping van de sloten. De ontwikkelingen op het gebied van baggeren in vergelijkbare gebieden zullen worden gevolgd en de toepasbaarheid zal in de volgende planperiode, over 10 jaar, worden afgewogen.;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 3.7 en 9.5 mg/m2/dag. De kritische fosforbelasting is 14.6. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;Veel belasting nutriënten uit de bodem. Mineralisatie bodem onder invloed van sulfaat.;In 2570-EAG-1: Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.3). De mediane dikte van het slib is 0.25. Wanneer de sliblaag wordt verwijderd zal de waterdiepte voldoende zijn voor een gezond ecosysteem. In 2570-EAG-2: Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.5). De mediane dikte van het slib is 0.15. ;;;;;;De Ronde Venen, Stichtse Vecht;Utrecht;;;achtergrondrapport WGP;;?;;WIP_samenvattingWSA
;;Buitendijkse Oosterpolder, Buitenwesterpolder en Blokland (noord), bemalen gebied;2610;M8;Landelijk;2;1;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een veenbodem (M8), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2610-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (0). De bedekking met kroos (0) is laag. Er is weinig FLAB.;In 2610-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.17 ekr per planperiode tussen 2006 en 2019).;;;;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 11.9 en 25.5 mg/m2/dag. De kritische fosforbelasting is 14.2. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.25). De mediane dikte van het slib is 0.3. Wanneer de sliblaag wordt verwijderd zal de waterdiepte voldoende zijn voor een gezond ecosysteem.;;;;;;De Ronde Venen, Nieuwkoop, Uithoorn;Noord-Holland, Utrecht, Zuid-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Voordijkschepolder, Voordijkschepolder;2620;M10;Landelijk;2;3;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor brede sloten met een veenbodem (M10), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2620-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (). De bedekking met kroos () is hoog. Er is weinig FLAB.;In 2620-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.08 ekr per planperiode tussen 2006 en 2019).;;;;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 3.5 en 10.04 mg/m2/dag. De kritische fosforbelasting is 13.7. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt een probleem.;;Habitatgeschiktheid vormt lokaal een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is (0.35). De mediane dikte van het slib is 0. ;;;;;;Nieuwkoop;Zuid-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Blokland, Blokland;2625;M8;Landelijk;0;3;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een veenbodem (M8), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2625-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (). De bedekking met kroos () is hoog. Er is weinig FLAB.;In 2625-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.21 ekr per planperiode tussen 2006 en 2019).;;;;;;Lichtklimaat vormt een probleem.;;Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.25). De mediane dikte van het slib is 0.2. Wanneer de sliblaag wordt verwijderd zal de waterdiepte voldoende zijn voor een gezond ecosysteem.;;;;;;De Ronde Venen, Nieuwkoop;Utrecht, Zuid-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Noorder- of Rietpolder (zuid), Noorder- of Rietpolder (zuid) (De Krijgsman);3020;NTB;Landelijk;0;0;0;2;0;0;0;0;;;In 3020-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (60). De bedekking met kroos (26.5) is hoog. Er is weinig FLAB  ().;;;;;;;;;In 3020-EAG-2: Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.2). De mediane dikte van het slib is 0.3. Wanneer de sliblaag wordt verwijderd zal de waterdiepte voldoende zijn voor een gezond ecosysteem. In 3020-EAG-1: Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.375). De mediane dikte van het slib is 0.35. ;;;;;;Gooise Meren;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Bloemendalerpolder (noord), Bloemendalerpolder (noord);3040;M8;Stedelijk;0;1;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een veenbodem (M8), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 3040-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (67.5). De bedekking met kroos (6.05) is laag. Er is weinig FLAB.;In 2630-EAG-1: De score op de maatlat Waterflora vertoont geen trend. In 2630-EAG-2: De score op de maatlat Waterflora vertoont een positieve trend (0.07 ekr per planperiode tussen 2006 en 2019).;;;;;;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.25). De mediane dikte van het slib is 0.025. Wanneer de sliblaag wordt verwijderd zal de waterdiepte nog steeds te gering zijn voor een gezond ecosysteem.;;;;;;Gooise Meren;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Holland, Sticht, Voorburg en Polder het Honderd oost, Voorburg;3070;M1a;Landelijk;2;1;0;1;0;0;0;0;Het gebied ligt tussen de Vecht en het Amsterdam Rijnkanaal. Het landschap heeft de kenmerken van een rivierdal, dat wil zeggen: relatief grote hoogteverschillen en verschillen in bodemtypes. De Vecht heeft in het verleden kommen uitgesleten: laagtes in het landschap met een kleibodem waar water moeilijk doorheen zakt. De oevers van de Vecht liggen relatief hoog en bestaan uit meer zandige grond. Er loopt ook een oude stroomrug dwars door de polders heen, waar water wel makkelijk doorheen zakt. Het grootste deel van het gebied is landbouwgrond, vooral gebruikt voor veeteelt. Er liggen vier dorpskernen in het plangebied en een aantal  landgoederen.;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een minerale bodem (M1a), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 3070-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (15). De bedekking met kroos (5) is laag. Er is weinig FLAB.;In 3070-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.2 ekr per planperiode tussen 2006 en 2019). In 3070-EAG-2: De score op de maatlat Waterflora vertoont geen trend.;;;Afsluitbaar maken inlaten vanuit de Vecht.;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 9.8 en 20.6 mg/m2/dag. De kritische fosforbelasting is 16.5. Dit is berekend met het metamodel van PCditch.;Lichtklimaat is slecht in Over-Holland;Productiviteit bodem is overal te hoog.;Habitatgeschiktheid is slecht (waterdiepte op verschillende plekken, slibdikte in Over-Holland);;;Organische belasting is te hoog (riooloverstorten in Breukelen, bladval in Over-Holland);;;Stichtse Vecht;Utrecht;;;Watergebiedsplan HSVO 2019;;?;;WIP_samenvattingWSA
;;Sportcombinatie Muiden, Sportcombinatie Muiden;3080;NTB;Landelijk;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;Gooise Meren;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Polder Dorssewaard, Polder Dorssewaard;3240;M1a;Landelijk;2;1;0;1;0;0;0;0;Het plangebied (totaal 125 ha) omvat de polder Dorssewaard en Vreeland Oost. De polder valt geheel binnen de gemeente Stichtse Vecht en ligt in de provincie Utrecht. Het dorp Vreeland valt gedeeltelijk binnen het plangebied. Op basis van het Waterbeheerplan 2010-2015 heeft nagenoeg het gehele plangebied de functie landbouw met natte natuurwaarden. Het grondgebruik komt met deze functie overeen en is in vrijwel de gehele polder grasland. Bebouwing (functie stedelijk gebied en functie bedrijventerrein) in het plangebied bevindt zich in het zuidwesten (nabij en in Vreeland Oost).;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een minerale bodem (M1a), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 3240-EAG-1: De gemiddelde bedekking met waterplanten is redelijk (70). De bedekking met kroos (1.5) is laag. Er is weinig FLAB.;In 3240-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.23 ekr per planperiode tussen 2006 en 2019).;;;;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 7.3 en 25.7 mg/m2/dag. De kritische fosforbelasting is 15.1. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.375). De mediane dikte van het slib is 0.1. ;;;;;;Stichtse Vecht, Wijdemeren;Noord-Holland, Utrecht;;;achtergrondrapport WGP;;LM_20201124;;WIP_samenvattingWSA
;;Vreeland (oost), Vreeland (oost);3250;M1a;Landelijk;0;1;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een minerale bodem (M1a), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 3250-EAG-1: Er is sprake van woekerende waterplanten. De gemiddelde bedekking is (90). De bedekking met kroos (40) is hoog. Er is veel FLAB (20).;In 3250-EAG-1: De score op de maatlat Waterflora vertoont geen trend.;;;;;;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.4). De mediane dikte van het slib is 0.2. ;;;;;;Stichtse Vecht;Utrecht;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Blijkpolder, Blijkpolder;3260;M10;Landelijk;1;1;0;1;0;0;0;0;De Stichts- en Hollands Ankeveense polders bestaan uit ondiepe plassen, petgaten en legakkers (ontstaan door veenwinning in het verleden), rietmoeras, moerasbos en graslandpercelen. Van oudsher komen er specifieke natuurtypen voor, deels gekoppeld aan het opwellen van grondwater vanuit de Heuvelrug aan de oostkant van het gebied. De Spiegel- en Blijkpolder bestaat uit een diepe (tot 35 meter) en heldere zandwinplas met waterrecreatie, een bebouwingskern en graslandpercelen. In het plangebied ligt de kleine dorpskern van Ankeveen (lintbebouwing) en aan de rand ligt een woonwijk van Nederhorst den Berg.;0.6;Matig (planen);In 3250-EAG-1: De score op de maatlat Waterflora vertoont geen trend.;;Fosfaatbelasting;;;Productiviteit water vormt geen probleem. De fosforbelasting ligt tussen de 3.6 en 4.3 mg/m2/dag. De kritische fosforbelasting is 13.9. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt lokaal een probleem. Lokaal is het lichtklimaat onvoldoende voor onderwaterplanten omdat kroos en flab het licht belemmeren.;Sloten te ondiep, lokaal teveel slib;Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.4). De mediane dikte van het slib is 0. ;;Lokaal te intensief onderhoud;;;;Wijdemeren;Noord-Holland;;;achtergrondrapport WGP;;LM_20201127;;WIP_samenvattingWSA
;;Gansenhoef west, Gansenhoef west;3303;M8;Landelijk;2;1;0;3;0;0;0;0;"Gansenhoef is een polder langs de Vecht en heeft een oppervlakte van 118 hectare. Het gebied is opgedeeld in twee peilvakken. Peilvak 65-1 wordt door het waterschap met een gemaal aan de Nieuweweg op peil gehouden. Het water wordt naar het Tienhovenskanaal verpompt. In het plan Verbetering waterhuishouding Noorderpark [8] is de maatregel opgenomen een nieuw poldergemaal voor Gansenhoef te bouwen. Het is de bedoeling dat deze aan de zuidkant van de polder komt te staan, langs de Machineweg en het polderwater uitmaalt naar de machinetocht.

Noordelijk van de polder Gansenhoef ligt de ruim twee meter dieper gelegen Bethunepolder. Vanuit Gansenhoef stroomt door het hoogteverschil veel water via de ondergrond naar de Bethunepolder. Als compensatie wordt voor Gansenhoef water uit de Vecht en de Loosdrechtse plassen ingelaten.";;Gegevens ontbreken in westelijk peilvak. In oostelijk peilvak varieert de beoordeling van vegetatie tussen goed en ontoereikend. Gemiddeld matig.;In 3303-EAG-1: De score op de maatlat Waterflora vertoont geen trend.;;;;;Productiviteit water vormt mogelijk een probleem. De fosforbelasting ligt tussen de 16.5 en 29.8 mg/m2/dag. De kritische fosforbelasting is 17.6. Dit is berekend met het metamodel van PCditch.;Lichtklimaat vormt geen probleem. ;;Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.25). De mediane dikte van het slib is 0. Wanneer de sliblaag wordt verwijderd zal de waterdiepte nog steeds te gering zijn voor een gezond ecosysteem.;;;;;;Stichtse Vecht;Utrecht;;;achtergrondrapport WGP;;?;;WIP_samenvattingWSA
;;Bethunepolder,;3311;M8;Landelijk;2;1;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een veenbodem (M8), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 3311-EAG-10: De gemiddelde bedekking met waterplanten is redelijk (). De bedekking met kroos () is hoog. Er is weinig FLAB . In 3311-EAG-8: De gemiddelde bedekking met waterplanten is redelijk (). De bedekking met kroos () is hoog. Er is weinig FLAB .;In 3311-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.18 ekr per planperiode tussen 2006 en 2019). In 3311-EAG-2: De score op de maatlat Waterflora vertoont een negatieve trend (-0.29 ekr per planperiode tussen 2006 en 2019). In 3311-EAG-3: De score op de maatlat Waterflora vertoont geen trend. In 3311-EAG-6: De score op de maatlat Waterflora vertoont een negatieve trend (-0.12 ekr per planperiode tussen 2006 en 2019). In 3311-EAG-7: De score op de maatlat Waterflora vertoont een negatieve trend (-0.13 ekr per planperiode tussen 2006 en 2019). In 3311-EAG-9: De score op de maatlat Waterflora vertoont een negatieve trend (-0.13 ekr per planperiode tussen 2006 en 2019).;;;;;Productiviteit water vormt een probleem zodra de verblijftijd lokaal toe neemt. De fosforbelasting ligt tussen de 35.3 en 109.8 mg/m2/dag. De kritische fosforbelasting kan niet berekend worden door de zeer korte verblijftijd in dit systeem.;Lichtklimaat vormt een probleem.;;In 3311-EAG-8: Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.65). De mediane dikte van het slib is 0.05.  In 3311-EAG-5: Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.7). De mediane dikte van het slib is 0.1. ;;;;;;Stichtse Vecht;Utrecht;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
